Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,ML_Selected,Significant,Validated
ANKRD30B,-0.5816944245524304,-0.06888549122807018,-6.1839124334324,4.507255612098564e-9,5.659310146550958e-5,10.29804134540272,TRUE,TRUE,TRUE
ZNF592,0.7556541202046034,0.16971322807017544,5.980893449707014,1.2750127724965156e-8,7.123193671572752e-5,9.339440239475628,TRUE,TRUE,TRUE
CMTM4,2.6250243913043496,0.6408602982456141,5.923873634893843,1.701941781994127e-8,7.123193671572752e-5,9.073367708494807,TRUE,TRUE,TRUE
DAB2IP,2.3733435784313723,0.5363456257309941,5.705025100447609,5.065451346883217e-8,1.2149122371275288e-4,8.069226257430564,TRUE,TRUE,TRUE
TMEM107,-1.2061486184995749,-0.26477479532163745,-5.699976475524754,5.191339616718829e-8,1.2149122371275288e-4,8.046626844688326,TRUE,TRUE,TRUE
DTX1,3.018359355924979,0.4962067485380117,5.668163977861335,6.071667537699279e-8,1.2149122371275288e-4,7.902533476643931,TRUE,TRUE,TRUE
SETD1A,0.5970611155157713,0.11874423976608188,5.638479476742219,7.018680042440387e-8,1.2149122371275288e-4,7.769197168039418,TRUE,TRUE,TRUE
ITPK1,10.155688070332483,1.433025298245614,5.618517796281792,7.74075971409703e-8,1.2149122371275288e-4,7.679159046600394,FALSE,TRUE,FALSE
FURIN,2.050194932651322,0.3734737134502924,5.50227037986142,1.359719872140619e-7,1.8969603016219568e-4,7.161292021540848,FALSE,TRUE,FALSE
SUPT7L,-1.8354228367433933,-0.31824285380116957,-5.423080581665947,1.9871947264359378e-7,2.4951216985129635e-4,6.812730207283701,TRUE,TRUE,TRUE
TM7SF2,-4.124879574595057,-0.8871898888888888,-5.350976897024386,2.798587576583887e-7,3.169782954583901e-4,6.49838644073384,FALSE,TRUE,FALSE
BBOF1,-0.8822118184143225,-0.14489126315789475,-5.334120198075841,3.029419835537338e-7,3.169782954583901e-4,6.425628798603479,TRUE,TRUE,TRUE
ORAI2,2.204899797527708,0.3577219532163743,5.290102081141772,3.727934725760891e-7,3.6006114166656726e-4,6.235275021134977,FALSE,TRUE,FALSE
TMCC2,6.838759102301796,1.699277105263158,5.254525091134852,4.4036585566071716e-7,3.838432628592316e-4,6.0824819619437696,TRUE,TRUE,TRUE
AP4B1,-1.3478718751065644,-0.2490982573099415,-5.245838193700476,4.585575774839498e-7,3.838432628592316e-4,6.04535495245428,FALSE,TRUE,FALSE
BCL2L1,3.8709737046035837,0.7684554385964912,5.188285530869486,5.993098168811433e-7,4.7030837879747723e-4,5.799942192586204,FALSE,TRUE,FALSE
LRRC4B,7.645465649190111,1.88120367251462,5.135998760130211,7.629578946862372e-7,5.635117250400232e-4,5.578717752269408,TRUE,TRUE,TRUE
CAMK2G,10.675952053708437,1.7495090701754386,5.1159333202324015,8.366601804425667e-7,5.83616956979826e-4,5.494246811765357,FALSE,TRUE,FALSE
ADAMTS2,0.9915881321398131,0.1931456081871345,5.045605735680997,1.1533780659086408e-6,7.36929704119574e-4,5.2002865421228845,TRUE,TRUE,TRUE
CIC,3.4773853998294966,0.9505627426900585,5.023764261315211,1.2739607598410405e-6,7.36929704119574e-4,5.109300270202104,TRUE,TRUE,TRUE
DDX23,1.9021213273657296,0.40626428070175435,5.023168857276194,1.2774043989462717e-6,7.36929704119574e-4,5.10683002608651,FALSE,TRUE,FALSE
PFKP,23.12964239769821,5.83503950877193,5.02079712679896,1.2912116510537297e-6,7.36929704119574e-4,5.096992175643096,TRUE,TRUE,TRUE
STARD7,3.911391762574598,0.9005467309941521,4.988662829741935,1.4931745807647664e-6,8.151434798296699e-4,4.964033766002779,FALSE,TRUE,FALSE
TIGD1,-0.28794620886615513,-0.04650592397660819,-4.91927551612839,2.0386090791904857e-6,0.0010326456167303539,4.679297909856072,FALSE,FALSE,FALSE
CAB39L,2.80540007331628,0.7705951871345029,4.909910061567487,2.1262769552161563e-6,0.0010326456167303539,4.640832058295055,TRUE,TRUE,TRUE
MEPCE,2.0941977591645355,0.5298872163742689,4.908644397276634,2.1383231948860464e-6,0.0010326456167303539,4.635668648086065,FALSE,TRUE,FALSE
GPSM1,2.7389688205456104,0.47772500584795324,4.874605512333345,2.4882623205213057e-6,0.00115713413690613,4.4971724234440424,FALSE,TRUE,FALSE
PPDPF,-26.256769232310337,-6.0721389883040935,-4.844845482033749,2.8391448628047075e-6,0.0011880713979528265,4.376671100787106,TRUE,TRUE,TRUE
RAPGEF1,2.2214950000000027,0.2856979473684211,4.8428570233196435,2.864223984072781e-6,0.0011880713979528265,4.368639170087827,FALSE,TRUE,FALSE
TMEM184B,5.050604175191817,1.1945856666666665,4.829460105572023,3.0388666957429726e-6,0.0011880713979528265,4.314589298054437,FALSE,TRUE,FALSE
HMGN2,-16.303568783461202,-4.049243374269006,-4.824365803649302,3.1079444033426068e-6,0.0011880713979528265,4.294065599573993,TRUE,TRUE,TRUE
UBAP1,1.6498747382779209,0.33456801169590644,4.821408922205465,3.1487334900805598e-6,0.0011880713979528265,4.282160451732163,FALSE,TRUE,FALSE
PPP1R1A,2.351206143222507,0.4724925789473684,4.81454348351926,3.2454471941908693e-6,0.0011880713979528265,4.254539465563474,FALSE,TRUE,FALSE
ZNF334,-0.5763488124467179,-0.14008492397660818,-4.813798605887466,3.2552963757385417e-6,0.0011880713979528265,4.2517542223824725,FALSE,TRUE,FALSE
VIPAS39,-0.5046460767263437,-0.10298517543859649,-4.804454902227589,3.391954719560382e-6,0.0011880713979528265,4.214212681573668,TRUE,TRUE,TRUE
SLC6A9,1.895000343989771,0.36132380701754385,4.797436013034304,3.4991102507357186e-6,0.0011880713979528265,4.185840698671076,FALSE,TRUE,FALSE
NIT1,-1.9028665430520033,-0.4558621286549708,-4.797312680051933,3.5010068273538212e-6,0.0011880713979528265,4.185346091919764,TRUE,TRUE,TRUE
RANBP10,-0.4150996265984661,-0.016019228070175435,-4.783530690537596,3.7184133656414766e-6,0.001228642058394589,4.130340368295104,FALSE,FALSE,FALSE
DDX39A,2.393000627450982,0.41334354970760234,4.77034918715397,3.940411616382679e-6,0.0012686104680846389,4.077442091410629,FALSE,TRUE,FALSE
HSPB2,1.8221854872122774,0.3191874561403509,4.734533973908527,4.607204277088895e-6,0.001446201422578204,3.934821387123457,FALSE,TRUE,FALSE
HSD11B2,1.3820404411764704,0.22811800000000002,4.724082874451221,4.821509629072148e-6,0.0014485433498900892,3.8933563984008606,TRUE,TRUE,TRUE
CSAD,-4.442820465046892,-0.3784037251461988,-4.72294582124532,4.8453982713749395e-06,0.0014485433498900892,3.8888492825634886,FALSE,TRUE,FALSE
RND2,4.441641080562663,0.6279447543859649,4.698004067626853,5.399111214169233e-6,0.001576540474537416,3.790190044324853,FALSE,TRUE,FALSE
ADORA1,3.1113957203751132,0.5980442397660819,4.691127883810164,5.562208529300493e-6,0.0015872520521340225,3.7630602339378187,FALSE,TRUE,FALSE
YY1,1.0836338256607,0.31138188304093567,4.684537956737274,5.722338540821479e-6,0.0015895079988295993,3.7371803711861817,TRUE,TRUE,TRUE
HEXIM1,2.528533161977837,0.539689865497076,4.6805154936103825,5.823301047002355e-6,0.0015895079988295993,3.7212484356197004,FALSE,TRUE,FALSE
PRELP,2.48626851193521,0.36412250292397663,4.647573443625883,6.711332755012551e-6,0.0017929254057859063,3.5919182895374684,FALSE,TRUE,FALSE
TAF1D,-7.349920168797954,-1.7439683859649122,-4.632713426983957,7.153433333467091e-6,0.0018215922926378759,3.533805712516247,FALSE,TRUE,FALSE
HOPX,-13.326673206734887,-3.154275725146199,-4.628948047191375,7.269843174073858e-6,0.0018215922926378759,3.519103112435519,FALSE,TRUE,FALSE
ZNF853,1.8699068380221682,0.4073446783625731,4.626396761563156,7.349754672226376e-6,0.0018215922926378759,3.509146347792174,FALSE,TRUE,FALSE
ZNF704,0.5076183000852516,0.07440593567251462,4.624000593799142,7.4239657494475304e-6,0.0018215922926378759,3.499978269607033,FALSE,TRUE,FALSE
STAG1,0.33606035635123616,0.06751695321637427,4.620253659291658,7.544026697767565e-6,0.0018215922926378759,3.485368130827241,FALSE,FALSE,FALSE
PNPLA6,3.3717087574595053,0.752849538011696,4.606990928407259,7.985939284510172e-6,0.0018878957575454664,3.43354960159689,FALSE,TRUE,FALSE
KIF1A,17.06080734143223,2.512245807017544,4.603111609987953,8.119335051565402e-6,0.0018878957575454664,3.4184666127020025,TRUE,TRUE,TRUE
RANBP3,1.3845648900255751,0.32765,4.587507486411932,8.677935378644106e-6,0.0019065653948557462,3.357895341026187,FALSE,TRUE,FALSE
