ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,Category,Validated_Genes_Found,n_Validated
GO:0016055,Wnt signaling pathway,350,0.37737526069170557,2.045737128490327,3.205765542412938e-11,6.421800705637199e-8,4.8415805614426936e-8,2572,"tags=37%, list=21%, signal=31%",DAB2IP/AXIN1/FRAT2/FRAT1/PAF1/G3BP1/NFKB1/BCL9L/CSNK1G2/TLE4/JUP/GPC4/WNT7A/SDHAF2/MITF/FZD9/DIXDC1/PTPRU/FZD1/DVL1/DKK3/PTK7/MARK2/GID8/LZTS2/PIAS4/FZD7/CTNND2/PPM1B/RSPO3/BCL7B/TAX1BP3/SOX10/PPM1A/VANGL2/EP300/NOG/USP34/CELSR3/FAM53B/WWOX/SKI/SMAD4/WWTR1/TCF7L1/KLF15/GPRC5B/RBPJ/SFRP2/ABL1/FBXW4/SOX13/CYLD/ZEB2/PBXIP1/SALL1/COL6A1/ZRANB1/SMAD7/GNAQ/CCNY/CHD8/MED12/TGFB1I1/CDC73/FOXO1/TGFB1/SFRP1/CDH2/HBP1/DVL3/NOTCH1/LRP4/CTDNEP1/WNK1/TLE5/NFATC1/FUZ/NXN/JRK/STK11/FBXW11/STK4/TBL1X/CALCOCO1/ADNP/TLE1/BMAL1/MLLT3/WNK2/BRD7/EGFR/DAAM2/AXIN2/CSNK1D/DACT3/PPM1N/DAPK3/LRP6/PYGO2/PPP1CA/DDX3X/AMFR/AMER2/RACK1/PRICKLE2/GRK6/ZNF703/FOXO3/WLS/FZD8/RNF220/APC2/HIC1/NFATC4/TIAM1/YAP1/MACF1/TNKS2/SOX2/FGFR2/CUL3/RNF146/FZD6/USP47/VGLL4/KANK1/ILK/CAV1/NDP/PSEN1,GO_BP,DAB2IP,1
GO:0042063,gliogenesis,276,0.3796541236659697,2.0069141214649346,3.846314026409374e-9,1.6089131572470411e-6,1.2130059813813142e-6,3337,"tags=44%, list=27%, signal=33%",DAB2IP/DTX1/PPP1CC/MECP2/KCNJ10/PICK1/SUN2/RAF1/ADORA2A/NAGLU/CCDC85C/DUSP10/DLG5/CSK/POU3F2/NFIB/PHGDH/PLEC/SOX10/NOG/CRKL/NF2/SKI/PTPN11/KLF15/SLC45A3/ABL1/SOX13/ABCA2/PRX/NFE2L1/ZEB2/RELA/CSF1/CLU/COL6A1/MAP2K2/MED12/TGFB1/CDH2/TTBK1/NOTCH1/MYCN/TSPO/GFAP/FYN/LAMB2/ERBB3/OLIG1/PFKFB3/SOX8/ASCL1/PARD3/FOXG1/NR3C1/CXCR4/GRN/MAPK3/SMO/ID4/MYRF/ADGRG1/DAAM2/AKT1/E2F1/EIF2B2/SCRIB/DLL1/DAG1/PAX6/NFIA/CDKN2C/PALS1/TGFB2/OLIG2/GPR37L1/SLC7A5/SOX6/WASF3/GPM6B/SOX2/CERS2/LPAR1/CNP/MMP14/ILK/EMX1/NR1D1/CNTN2/NDP/PSEN1/BOK/PRKCH/NR2E1/ZMIZ1/SIRT2/QKI/TREM2/VCAN/RHOA/CCL2/TAL1/RNF7/NAB1/HDAC1/BIN1/STAT3/LRP1/LAMA2/PLP1/ARHGEF10/MAPK1/APCDD1/RRAS2/LRP2/NDRG1/PRDM8/IL34/VIM/EPM2A/SYNE2/FA2H,GO_BP,DAB2IP/DTX1,2
GO:0045165,cell fate commitment,163,0.4129737631719508,2.046797680132348,1.3098335297544477e-7,2.1916134619851418e-5,1.652320528481821e-5,2973,"tags=44%, list=24%, signal=34%",PAF1/CHD4/MBD3/BMPR1A/WNT7A/MITF/POU3F2/SMAD2/DLL4/NFIB/GAS1/FZD7/FKBP8/EP300/BCL2/HEY2/SMAD4/RBPJ/SFRP2/ZNF521/SOX13/CYLD/NFE2L1/GATAD2A/TGFB1I1/CDC73/SFRP1/NOTCH1/CHD3/ACVR1/OLIG1/NOTCH4/GATAD2B/SOX8/SUFU/ASCL1/FOXG1/EYA2/SMO/FEZF2/TBX3/PRDM11/KDM6B/DLL1/PTCH1/TBX6/CASP3/PAX6/NFIA/MTA1/TGFB2/OLIG2/SOX6/TCF3/APC2/ARHGEF2/STAT5A/SOX2/FGFR2/NOTCH3/ITGB1/SOX5/PSEN1/BCL11B/NR2E1/BRD4/NOTCH2/NR2F2/RHOA/TAL1/HDAC1/IFRD1,GO_BP,,0
GO:0033108,mitochondrial respiratory chain complex assembly,93,-0.45501553264457195,-2.087584101509498,8.224208494635122e-7,1.0118195333252564e-4,7.628398962825642e-5,2067,"tags=37%, list=17%, signal=31%",NDUFAF5/SCO1/UQCC6/PET117/NDUFC2/COA5/TTC19/SDHAF1/SDHAF3/FASTKD3/PET100/ACAD9/AIFM1/CEP89/COA3/SDHAF4/NDUFAF7/TMEM126B/IMMP2L/UQCC1/OXA1L/HIGD1A/UQCC2/TMEM223/NDUFA6/COA1/NDUFS1/FOXRED1/ATPAF1/LYRM7/DMAC1/NDUFAF3/COX18/CHCHD7,GO_BP,,0
GO:0017004,cytochrome complex assembly,42,-0.5672806675922638,-2.221407616062983,7.826844569028582e-6,5.196776322578819e-4,3.917999386601442e-4,2013,"tags=43%, list=16%, signal=36%",SCO1/UQCC6/PET117/SLC25A46/COA5/TTC19/FASTKD3/COX10/PET100/CEP89/COA3/UQCC1/UQCC2/TMEM223/COA1/LYRM7/COX15/COX18,GO_BP,,0
GO:0045446,endothelial cell differentiation,82,0.4682043492305075,2.0515822426398334,7.596447428817309e-6,5.196776322578819e-4,3.917999386601442e-4,3182,"tags=45%, list=26%, signal=34%",RAPGEF1/VEZF1/EZR/RAP1A/FZD1/PPP1R16B/HEY2/SMAD4/RBPJ/TJP2/ATOH8/NOTCH1/ACVR1/NOTCH4/GPX1/RDX/RAPGEF3/IKBKB/S1PR3/ADD1/KDM6B/DLL1/TIE1/CLDN5/ARHGEF26/CCM2/TJP1/HAPLN2/ZEB1/NDP/FOXJ2/NR2F2/AMOTL2/ROCK1/S1PR1/BTG1/AFDN,GO_BP,,0
GO:0021510,spinal cord development,65,0.48662983469445775,2.063857736569158,1.1954578131649781e-5,7.463582138013587e-4,5.627009596610015e-4,2142,"tags=42%, list=17%, signal=35%",GIGYF2/MDGA1/SOX12/NPFF/DLL4/PHGDH/NOG/CLN8/SOX13/NFE2L1/MED12/MPST/NOTCH1/PBX3/SUFU/GDF11/ASCL1/MDGA2/ABT1/SMO/DAAM2/DLL1/PTCH1/PAX6/OLIG2/SCYL1/SOX6,GO_BP,,0
GO:0035329,hippo signaling,50,0.5126940369761175,2.0374331357791697,3.448763147323221e-5,0.0015170412174494374,0.0011437410791747334,2440,"tags=40%, list=20%, signal=32%",WWC1/TEAD2/WWC3/DLG5/MOB3B/TEAD1/NF2/WWTR1/MAP2K3/MAP4K4/SIRT1/AMOT/SLMAP/STK4/WTIP/STRN4/FRMD6/CORO7/YAP1/VGLL4,GO_BP,,0
GO:0070849,response to epidermal growth factor,48,0.5237656967068431,2.0572447195257766,3.967365013549161e-5,0.001611212412784091,0.0012147394563713119,1756,"tags=35%, list=14%, signal=31%",DAB2IP/GIT1/INPP5K/SPG21/MCM7/GAREM1/PTPN11/PLCG1/MED1/PPP1R9B/ASCL1/MAPK3/ZFP36L1/EGFR/SNX6/AKT1/STAT5B,GO_BP,DAB2IP,1
GO:0035924,cellular response to vascular endothelial growth factor stimulus,55,0.49439530619515276,2.0228526570836745,8.43249759579517e-5,0.0027133182648623995,0.002045648809473873,2795,"tags=47%, list=23%, signal=37%",DAB2IP/PIK3CD/MT1G/DLL4/GAS1/GAB1/MAPKAPK2/MAP2K3/RELA/PDGFRB/NOTCH1/VEGFB/ADGRG1/AKT1/PGF/MYO1C/DLL1/ITGA5/CADM4/SPHK1/PRKD1/ITGB1/ATP2B4/PIK3CA/EMILIN1/NR2F2,GO_BP,DAB2IP,1
