ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,Category,Validated_Genes_Found,n_Validated
GO:0061061,muscle structure development,484,0.3651176734655496,2.0521795767312474,8.214570801678899e-14,3.4361549663422836e-10,2.503282365353728e-10,2880,"tags=37%, list=23%, signal=30%",CTCF/FLII/CSRP1/EGLN1/HIRA/NAGLU/FOXO4/YY1/HSPB2/BCL9L/SUPT6H/GPER1/EP300/NPNT/SKI/RBM38/ZNF609/HMG20B/SMARCD3/PLEC/SMTN/SMAD7/BMPR1A/ERBB3/DOCK1/ARID1A/DOCK5/SORT1/RBPMS2/BRD7/CAPN2/CHUK/XKR8/TCF12/NINJ1/IGFBP5/SOX8/COL6A1/RBPJ/SETD3/PDGFRB/MAFF/MAML1/NOTCH1/FLOT1/LAMB2/HEY2/MYH3/HDAC4/SMAD4/DMPK/NOG/TGFB1/PHF10/SIRT1/FZD1/PDLIM7/OBSCN/PRKG1/DLL4/MECP2/TANC1/CTF1/SIRT2/EHD1/ITGB1/NEBL/AKT1/FGFR2/BMAL1/SMARCC1/YBX1/RANBP3L/DNMT1/ZEB1/CASP7/MYL6B/EFNB2/VANGL2/SRPK3/TMEM204/KAT8/SPAG9/FZD7/HDGFL2/ZMPSTE24/RCAN1/MED1/FOXN2/ATP11A/CAV1/GTF3C5/NFATC4/MYORG/SMO/QKI/USP19/DLL1/NOTCH4/HSD17B1/NACA/CTDP1/MSX1/CHD7/RORA/ID3/HIVEP3/PLEKHO1/BIN1/PPARA/BCL2/MYL6/MYH14/SMARCE1/ELN/SAP30/COL11A1/EHD2/HDAC5/SGCB/PAXBP1/TMEM119/TGFB2/MEGF10/PRKD1/TBX3/PBRM1/NOTCH2/NEO1/LAMA5/BHLHE41/SEMA4C/MMP14/ZFHX3/NFATC3/MYBPC1/GPX1/OLFM2/LAMA1/SOX6/SMARCC2/POU6F1/HNRNPU/LAMA2/MYH9/NUPR1/PTBP1/BTG1/ACTL6A/KAT5/FHL3/VPS54/SFMBT1/LAMC1/FXR1/LMNA/LRP2/ADGRB1/MYOM1/ACTN4/CRYAB/ZFP36L1/SGCE/LEF1/ARID2/SMARCD2/S1PR1/LRRC8A/COPRS/PRR14/ZNF689/CHKB/CAMK1/NR2F2/HES1/FRS2/ANK2/PLPP7/ID2/PDLIM4,GO_BP,CTCF/FLII/CSRP1/EGLN1/HIRA/NAGLU/FOXO4/YY1/HSPB2/GPER1/SKI/RBM38/HMG20B/SMARCD3/SMTN/ERBB3/DOCK1/SORT1/NINJ1/LAMB2,20
GO:0042063,gliogenesis,276,0.39396886449827245,2.1018496847727888,7.329404921238731e-11,6.131780157108323e-8,4.4670794204181326e-8,2868,"tags=41%, list=23%, signal=32%",DAB2IP/MED12/SUN2/NAGLU/PPP1CC/RAF1/ABCA2/KCNJ10/ADORA2A/SLC45A3/SKI/PLEC/DTX1/PICK1/CSK/CCDC85C/ERBB3/ABL1/CNTN2/SOX10/POU3F2/MYCN/PRX/NFIB/MYRF/FA2H/CRKL/ILK/SOX8/COL6A1/ZEB2/NOTCH1/DLG5/LAMB2/LPAR1/NF2/ASCL1/NOG/KLF15/TGFB1/OLIG1/SCRIB/MAPK3/MECP2/CXCR4/ADGRG1/PLP1/DUSP10/PHGDH/PALS1/DAAM2/SIRT2/RELA/AKT1/BOK/SOX13/PTPN11/CSF1/OLIG2/MAP2K2/CNP/TAL1/SMO/QKI/DLL1/TSPO/VCAN/CERS2/SOX2/FYN/BIN1/GRN/PFKFB3/TTBK1/NDUFS2/NR2E1/TGFB2/GPM6B/CLU/PARD3/NFIA/LRP8/MMP14/HDAC1/NFE2L1/SYNE2/SOX6/GFAP/LAMA2/CDKN2C/VPS54/ZMIZ1/AKT2/NDRG1/E2F1/EPM2A/SLC7A5/PRKCH/VIM/LRP2/NDP/LEF1/TREM2/EIF2B4/PSEN1/HES5/ID4/WASF3/GPR37L1/HES1/MAG/ID2,GO_BP,DAB2IP/MED12/SUN2/NAGLU/PPP1CC/RAF1/ABCA2/KCNJ10/ADORA2A/SLC45A3/SKI/DTX1/CSK/CCDC85C/ERBB3/ABL1/POU3F2/PRX/NFIB/ZEB2/LAMB2/NF2/RELA,23
GO:0010001,glial cell differentiation,207,0.4261045413935257,2.172731721321549,2.6402518370151263e-10,1.8193010421418572e-7,1.3253838260127274e-7,3255,"tags=47%, list=26%, signal=36%",MED12/NAGLU/RAF1/ABCA2/KCNJ10/ADORA2A/SLC45A3/SKI/PLEC/DTX1/PICK1/CSK/CCDC85C/ERBB3/ABL1/CNTN2/SOX10/POU3F2/MYCN/PRX/NFIB/MYRF/FA2H/ILK/SOX8/COL6A1/ZEB2/NOTCH1/DLG5/LAMB2/LPAR1/ASCL1/NOG/KLF15/TGFB1/OLIG1/MAPK3/CXCR4/PLP1/DUSP10/PHGDH/PALS1/DAAM2/SIRT2/RELA/AKT1/BOK/SOX13/PTPN11/OLIG2/MAP2K2/CNP/TAL1/SMO/QKI/DLL1/SOX2/BIN1/GRN/PFKFB3/TTBK1/NR2E1/GPM6B/CLU/PARD3/NFIA/HDAC1/NFE2L1/SOX6/GFAP/LAMA2/CDKN2C/VPS54/AKT2/NDRG1/VIM/NDP/LEF1/TREM2/EIF2B4/PSEN1/HES5/ID4/WASF3/GPR37L1/HES1/MAG/ID2/ARHGEF10/HDAC2/DAG1/PAX6/EIF2B5/LRP1/EMX1/TMEM98/NAB1/CLCN2,GO_BP,MED12/NAGLU/RAF1/ABCA2/KCNJ10/ADORA2A/SLC45A3/SKI/DTX1/CSK/CCDC85C/ERBB3/ABL1/POU3F2/PRX/NFIB/ZEB2/LAMB2/RELA,19
GO:0048732,gland development,275,0.3798403521819822,2.023549080806136,1.134571297635219e-9,5.932389672510151e-7,4.3218209298078407e-7,3073,"tags=41%, list=25%, signal=31%",GPAT4/COBL/ARHGAP35/APLN/NAGLU/RAF1/NPC1/NCOA1/ZBTB7B/NFKB1/USF2/TGFB3/BMPR1A/ABL1/CDKN1C/SOX10/POU3F2/SALL1/NFIB/INSR/FA2H/HIPK2/CRKL/RAP1A/PHF2/IGFBP5/RBPJ/NOTCH1/SFRP1/ASCL1/SMAD4/NOG/TGFB1/DKK3/SCRIB/MAPK3/MAN2A1/GFER/IRS2/RELA/AKT1/FGFR2/SMARCC1/ARHGAP5/DDR1/CSF1/ARMC5/MPST/MAP2K2/STK11/ZMPSTE24/MED1/CAV1/NCOR2/ELK1/SMO/STAT5B/NOTCH4/TSPO/RPS6KA1/BTBD7/MSX1/GUCD1/SOX2/EGFR/PPARA/BCL2/RPS15/ASXL1/PRKCSH/PDGFA/LRP5/TGFB2/ZNF703/TBX3/SOCS2/PNPT1/STAT5A/UPF2/PCNA/PLXND1/NOTCH2/LAMA5/GPX1/BAX/LAMA1/ARF6/FADD/ADA/CAPN1/PTCH1/AKT2/INHBB/ZBTB1/SLC7A5/TGM2/BMP7/SP3/LEF1/JARID2/CUL3/PSEN1/ID4/HES1/FRS2/ID2/CCDC40/DAG1/PAX6/TGFA/LIPA/HPN,GO_BP,GPAT4/COBL/ARHGAP35/APLN/NAGLU/RAF1/NCOA1/ZBTB7B/USF2/TGFB3/ABL1/POU3F2/NFIB/RAP1A/PHF2/GFER/RELA,17
GO:0060070,canonical Wnt signaling pathway,237,0.39531750684351125,2.056463167939433,1.422750019537028e-9,6.012062524575188e-7,4.379863610515034e-7,2812,"tags=40%, list=23%, signal=31%",DAB2IP/AXIN1/LZTS2/G3BP1/BCL9L/FAM53B/FRAT2/DVL3/EP300/PPM1B/TLE4/NFKB1/SMAD7/DIXDC1/SOX10/FZD9/DVL1/WNK1/FRAT1/TCF7L1/ILK/FZD8/COL6A1/RBPJ/PPM1A/TNKS2/ZEB2/USP34/NOTCH1/SFRP1/GPRC5B/PTPRU/CSNK1G2/SMAD4/CTNND2/NOG/TGFB1/FZD1/PTK7/DKK3/JRK/WNT7A/RSPO3/JUP/DAAM2/AMER2/FGFR2/CTDNEP1/BMAL1/CHD8/SOX13/WWTR1/TMEM64/STK11/SDHAF2/FZD7/CAV1/CYLD/TLE5/SOX2/RNF146/DVL2/RNF220/EGFR/USP47/SFRP2/STK4/LRP4/ADNP/LRP5/DACT3/DDX3X/GID8/CCNY/FOXO1/ZNF703/WNK2/TBL1X/HDAC1/AMFR/MLLT3/ZBED3/APC/GNAQ/DAPK3/CSNK1D/NDP/KANK1/LEF1/CSNK1E/PSEN1/APC2/LRP6/YAP1,GO_BP,DAB2IP/AXIN1/LZTS2/G3BP1/FAM53B/FRAT2/DVL3/PPM1B/TLE4/DVL1/PPM1A/ZEB2/CSNK1G2/CTDNEP1,14
GO:0007163,establishment or maintenance of cell polarity,192,0.4174824654094268,2.1077247125495204,5.397567266213967e-9,2.0525476249611836e-6,1.495306912506166e-6,2752,"tags=42%, list=22%, signal=33%",ARHGAP35/NDE1/ERBIN/GPSM1/INPPL1/EZR/RHOQ/MARK2/GOLPH3/CCDC85C/ABL1/CRB2/LLGL1/MAP7/SNX27/FEZ1/JAM3/CRKL/ILK/MYO18A/ATN1/MAP1B/CYTH1/RHOG/PLEKHG3/DLG5/CRK/RHOU/FRMD4B/PTK7/MAPRE1/SCRIB/GSN/DLG1/FAT1/WNT7A/WWC1/PARVA/PALS1/ITGB1/CORO7/AMOTL2/PARD6A/CTNNA1/STK11/VANGL2/FBXW11/NUMA1/AMOT/LLGL2/SIPA1L3/SHTN1/GJA1/DST/ABL2/RHOJ/SKA2/FOXJ1/FAM89B/BRSK1/PARD3/KIF25/ROCK1/KIAA1614/LAMA1/ARF6/MYH9/RAC1/GPSM2/DCTN1/KAT5/RACK1/CYTH3/LMNA/MYO9A/BRSK2/KANK1/TCIRG1/CDC42BPB/HES5,GO_BP,ARHGAP35/NDE1/ERBIN/GPSM1/INPPL1/RHOQ/MARK2/CCDC85C/ABL1/CRB2/SNX27/JAM3/CRK,13
GO:0045165,cell fate commitment,163,0.4320565465650981,2.13094474833291,9.309101156911543e-9,2.7814264385257844e-6,2.0263043495683396e-6,2968,"tags=45%, list=24%, signal=35%",PAF1/MBD3/MITF/EP300/BMPR1A/CHD4/POU3F2/NFIB/SOX8/RBPJ/SMAD2/TGFB1I1/NOTCH1/SFRP1/HEY2/ASCL1/SMAD4/OLIG1/DLL4/GATAD2A/FKBP8/CDC73/WNT7A/CHD3/MTA1/NOTCH3/ITGB1/GAS1/FGFR2/DSCAML1/SOX13/OLIG2/FEZF2/FZD7/TBX6/TAL1/SMO/DLL1/CYLD/NOTCH4/TCF3/SOX2/BCL2/SFRP2/SOX5/ARHGEF2/NR2E1/TGFB2/TBX3/EYA2/STAT5A/NOTCH2/NFIA/CTR9/HDAC1/NFE2L1/SOX6/BRD2/PRDM11/SUFU/APC/PTCH1/BRD4/ZNF521/PSEN1/HES5/APC2/NR2F2/HES1/ID2/KDM6B/GATAD2B/HDAC2,GO_BP,PAF1/MBD3/POU3F2/NFIB,4
GO:0071559,response to transforming growth factor beta,203,0.395190935622183,2.016200174232301,7.678060998127432e-8,1.235281890583348e-5,8.999184854080532e-6,3257,"tags=41%, list=26%, signal=31%",CREBBP/FURIN/AXIN1/BCL9L/EP300/NPNT/SKI/TGFB3/SMAD7/ING2/BMPR1A/ABL1/YES1/CDKN1C/LTBP3/GDF11/ITGB5/ZBTB7A/HIPK2/CRKL/SMAD2/PPM1A/TGFB1I1/ZEB2/SFRP1/CRK/SMAD4/TGFB1/ITGB8/SIRT1/DKK3/ARID4A/PRDM16/WNT7A/PALS1/PARP1/FGFR2/PAK2/RGCC/ZEB1/PMEPA1/CHST11/WWOX/STK11/SNX6/MAPK7/CAV1/PXN/FYN/PPARA/DUSP22/SOX5/SAP30/FAM89B/TGFB2/ZNF703/COL1A2/ZFHX3/ROCK1/STUB1/HDAC1/SOX6/ZMIZ1/HYAL2/NDP/ZFP36L1/BRMS1/CLDN5/LRRC32/SNRNP70/HTRA1/KMT2A/HDAC2/FLCN/SNW1/EMILIN1/LTBP1/APPL2/ACVR1/PPARG/SMAD5/SELENON/ZFP36L2,GO_BP,CREBBP/FURIN/AXIN1/SKI/TGFB3/ABL1/YES1/LTBP3/ITGB5/ZBTB7A/PPM1A/ZEB2/CRK,13
GO:0032543,mitochondrial translation,127,-0.41890954893999766,-2.0803152215985423,4.2046950705978985e-7,4.0902882512351184e-5,2.979826739138535e-5,3899,"tags=57%, list=31%, signal=39%",WARS2/QRSL1/C1QBP/CDK5RAP1/TACO1/MRPS7/MRPL54/MRPS11/TUFM/MALSU1/ALKBH1/MRPL16/FASTKD2/MRPL39/MRPL12/NSUN3/RPUSD4/MRPS33/MRPS26/MRPL40/MRPL33/MRPS12/GARS1/FASTKD3/MRPL53/TARS2/MRPL37/MRPL11/UQCC2/MRPL1/DAP3/MRPL35/RARS2/MRPL24/MRPS23/GFM2/MRPL55/AARS2/MRPS9/YARS2/OXA1L/MRPS10/GATB/MRPL17/MRPL9/CHCHD1/MRPS25/MRPS16/MRPS27/MRPL50/MRPL32/MRPS35/MRPL15/MRPL42/MRPS28/MRPS31/LRPPRC/MRPL2/MRPS30/GFM1/HARS2/RMND1/COA3/MRPS22/TSFM/PTCD3/MRPL57/EARS2/MRPL3/MRPS18A/MPV17L2/MRPL13,GO_BP,COA3/MRPS22/PTCD3/MRPL57/MRPL3/MRPS18A/MPV17L2/MRPL13,8
GO:0007422,peripheral nervous system development,64,0.5234962879196737,2.2289414053623076,2.2428300281351026e-6,1.5936058698859124e-4,1.1609620376510731e-4,1340,"tags=36%, list=11%, signal=32%",MED12/RAF1/SKI/PLEC/UGT8/ERBB3/SOX10/NFASC/POU3F2/PRX/FA2H/ILK/SOX8/COL6A1/LAMB2/NEFH/ASCL1/MAPK3/PALS1/SIRT2/RELA/AKT1/MAP2K2,GO_BP,MED12/RAF1/SKI/UGT8/ERBB3/NFASC/POU3F2/PRX/LAMB2/RELA,10
