ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,Category,Validated_Genes_Found,n_Validated
GO:0003682,chromatin binding,464,0.407350350458624,2.3383932367102034,7.059860012314888e-20,5.351373889334685e-17,4.17646455465365e-17,3217,"tags=45%, list=26%, signal=35%",CIC/RERE/YY1/CBX5/SAMD1/PCBP2/MBD3/CREBBP/STAG1/FOXO4/BRD3/CTCF/ZNF609/PHF19/SUPT6H/NELFA/E2F4/HIRA/NCOA1/HCFC1/EP300/PAF1/ARID1A/MITF/SMARCD3/GPER1/TNRC18/TLE4/ATRX/NFKB1/MECP2/PHF21A/SMC1A/POLA1/POLG/POLD1/CHD4/SOX10/AHDC1/NIPBL/ING2/URI1/WAC/MSL2/MSH6/ZFX/SMAD2/CHD1/ZC3H4/PKN1/NOTCH1/RELA/RNF168/STAG2/SIRT7/PHF10/ING5/CENPB/REPIN1/BMI1/RBPJ/MED12/SET/KAT6A/TADA2B/DNAJC2/MTA1/HMGN5/KAT6B/KAT8/TRIM28/NUP62/SMAD4/SIRT1/PER1/SMARCA1/RCC1/SSRP1/GABPA/PARP1/NCOR2/KDM6B/ELK1/NCOA5/YBX1/UPF1/NSD2/RAD21/DNMT1/CHD3/ATXN1L/ACTN4/SMARCC1/ZNF276/ASCL1/STAT5B/ANKRD17/ASXL2/ZEB1/SIRT2/ADNP/UBTF/ASXL1/ATF4/NAP1L1/BRD4/SMC3/JARID2/NAP1L4/PHC2/NCOA6/KDM3A/FOXO1/KAT2B/ELK4/SAP30L/POLE/HP1BP3/SMARCC2/UXT/NFIA/GATAD2B/NUPR1/PCNA/TAL1/ZIC2/MED1/PBRM1/RING1/KDM3B/ARID3A/PAX6/NFE2L1/BRD2/CALCOCO1/CHD8/SMARCE1/KMT5C/PYGO2/REST/PHF13/TGIF1/NKAPL/HNRNPU/SAFB/PHF1/PCGF1/CHD7/HDAC1/KDM5A/BAP1/JDP2/ACSS2/MLLT1/IKZF5/CHD2/ACTL6A/HDAC5/PBX2/THRA/NR3C1/SREBF1/TASOR/ARID5A/NSD1/CREB3/SUPT5H/MBD6/SMARCD2/RNF169/FOXO3/HES1/KMT2A/MBD2/RNF20/ZNF445/SBNO2/SP3/MTA2/MCM3AP/SMARCB1/SMC2/PELP1/IRF3/LHX2/PRDM15/ASH1L/DHX30/EGFR/NUCKS1/RNF8/H2AZ1/SFMBT1/FLI1/YAP1/STAT3/SCMH1/DNMT3A/PRDM11/PWWP3A/FUS/PRKCB/NFAT5/CEBPB/GATA2/SKIL/CLOCK/MORC2/CHD1L,GO_MF,CIC/RERE/YY1/CBX5/SAMD1/PCBP2/MBD3/CREBBP/FOXO4/BRD3/CTCF/PHF19/SUPT6H/NELFA/E2F4/HIRA/NCOA1/HCFC1/PAF1/ARID1A/SMARCD3/GPER1/TNRC18/TLE4/ATRX/MECP2/PHF21A/POLG/CHD4/SOX10/NIPBL/ING2/URI1/WAC/STAG2/SIRT7/PHF10/ING5/CENPB/RBPJ/MED12/KAT8/PER1/ZNF276/ASCL1,45
GO:0008134,transcription factor binding,497,0.37392429075673717,2.159991240695487,1.8461671286721508e-16,6.996973417667451e-14,5.4607680332302565e-14,3161,"tags=41%, list=25%, signal=32%",SETD1A/ZMYND8/YY1/NFKBIA/CBX5/CREBBP/FOXO4/CTCF/HDGF/MAP3K10/TFDP2/PADI2/HIRA/AKAP8/USF2/NCOA1/HCFC1/EP300/ARID1A/SKI/LMO3/SMARCD3/WFS1/TLE4/NFKB1/EBF4/PURA/FBL/NFYB/KEAP1/JUND/ZBTB7A/TEAD2/CHD4/SOX10/HEY2/SOX8/EHMT1/TAF4/DCAF1/MED13/CGGBP1/ZBTB16/DAXX/SP1/SMAD2/PTMA/TBX6/SETD3/ZBTB17/HIPK2/PKN1/RELA/TGFB1I1/DOT1L/TADA3/MAX/CRY1/RBPJ/DLL1/CRTC3/AIP/FIZ1/MED12/KAT6A/MTA1/BCL2/TCF12/KAT8/STK4/PRMT2/SMAD4/ATOH8/SIRT1/PER1/MED16/SMARCA1/WIZ/HDAC4/PHF12/JUP/SPEN/PARP1/RXRA/INTS13/NCOR2/MAPK3/ZNF618/ELK1/BMAL1/UBXN7/RAD21/ZNHIT6/ACTN4/MAVS/BHLHE41/PPARA/EEF1D/ZNF644/ASCL1/STAT5B/STK36/SIRT2/ID3/ADD1/ASXL1/ATF4/TBX3/SRARP/MED25/VHL/TOB2/NCOA6/KDM3A/PBXIP1/TCF3/TCF4/KAT2B/CRKL/PRDM16/RORA/CTBP2/CNOT2/ZNF703/NFIA/PCNA/DDX3X/CTDP1/TAL1/NCOR1/TRIP4/RPS3/MED1/PAX6/BRF1/SMARCE1/FAM89B/FOXF2/IFI16/ZBTB43/REST/HNRNPU/BCL3/PHF1/ID4/HDAC1/ENO1/STAT5A/SP100/NCAPG2/NOTCH2/LRIF1/RFX5/BAZ2A/UBE2I/HDAC5/NFATC1/PIM1/PBX2/THRA/ETS1/NR3C1/SREBF1/LYAR/ARID5A/NSD1/CREB3/FOXO3/HES1/IKZF4/VGLL4/BBS2/LCOR/DDX20/SYVN1/TFDP1/ZNF516/SP3/TLE1/CD34/MTA2/SMARCB1/WIPI1/TACC1/CRTC2/PSMC5/E2F1/NUCKS1/CEBPG/BAIAP2/MTDH/SNW1/XPO1/TRIP6/NR1D1/RFC1/TPT1/YAP1/STAT3/BRD8/DNMT3A/LATS1/PRKCB/CEBPB/GATA2,GO_MF,SETD1A/ZMYND8/YY1/NFKBIA/CBX5/CREBBP/FOXO4/CTCF/HDGF/MAP3K10/TFDP2/PADI2/HIRA/AKAP8/USF2/NCOA1/HCFC1/ARID1A/SKI/LMO3/SMARCD3/WFS1/TLE4/EBF4/FBL/NFYB/KEAP1/JUND/ZBTB7A/TEAD2/CHD4/SOX10/SOX8/EHMT1/ZBTB16/DAXX/PTMA/SETD3/ZBTB17/HIPK2/RBPJ/AIP/MED12/TCF12/KAT8/PRMT2/PER1/ASCL1,48
GO:0001216,DNA-binding transcription activator activity,241,0.4577345806385611,2.4104887128004084,1.527704885400083e-15,2.8950007578331573e-13,2.2593951199864387e-13,3438,"tags=52%, list=28%, signal=39%",YY1/NFIC/SALL2/FOXO4/TFDP2/E2F4/TFEB/VEZF1/USF2/NFIB/MITF/SOX12/NFKB1/EBF4/NFYB/ZBTB7B/CREBRF/JUND/ZNF580/SOX10/ZNF71/MTF1/POU3F2/ZBTB16/PBX3/MAFF/SP1/ZFX/SMAD2/MSX1/ZBTB17/RELA/KLF15/ZEB2/PLAGL2/RBPJ/ATF1/ZSCAN21/CSRNP1/FOXJ1/TCF12/ELF1/SMAD4/ZNF212/NEUROD2/TEAD1/HDAC4/GABPA/ZNF143/ELK1/ZNF24/THAP11/IRF2/FOXK2/KLF13/PPARA/STAT5B/BACH1/ATF4/RFX2/TBX3/NFATC3/TCF3/TCF4/FOXO1/ELK4/PRDM16/PRDM4/NFIA/ZBED1/SOX2/PAX6/NFE2L1/FOXF2/MZF1/STAT5A/ZNF292/SP100/ZNF395/RFX5/ZNF639/HDAC5/NFATC1/PBX2/FOXF1/ETS1/NR3C1/SREBF1/CREB3/MAF/ELK3/FOXO3/ZFAT/ATF6B/IRF1/TFDP1/GLIS2/IRF5/USF3/IRF3/MECOM/LHX2/PRDM15/KLF7/E2F1/CEBPG/ESRRA/SOX21/NR2E1/FLI1/STAT3/MLXIP/MYCN/MAFG/NFAT5/CEBPB/GATA2/CLOCK/ZIC1/GLIS1/ERG/POU2F1/MLXIPL/NFE2L2/E2F5/MEF2B,GO_MF,YY1/NFIC/SALL2/FOXO4/TFDP2/E2F4/TFEB/VEZF1/USF2/NFIB/SOX12/EBF4/NFYB/ZBTB7B/JUND/SOX10/POU3F2/ZBTB16/MAFF/ZBTB17/ZEB2/RBPJ/TCF12/NEUROD2,24
GO:0140297,DNA-binding transcription factor binding,403,0.37991789806641507,2.1422525092769495,7.207499034775879e-14,1.0926568536720232e-11,8.527609384303251e-12,3161,"tags=42%, list=25%, signal=32%",SETD1A/ZMYND8/YY1/NFKBIA/CBX5/CREBBP/FOXO4/MAP3K10/PADI2/HIRA/AKAP8/USF2/NCOA1/HCFC1/EP300/ARID1A/SKI/LMO3/SMARCD3/WFS1/TLE4/EBF4/PURA/NFYB/KEAP1/JUND/ZBTB7A/CHD4/SOX10/HEY2/SOX8/TAF4/DCAF1/MED13/CGGBP1/DAXX/SP1/SMAD2/PTMA/TBX6/SETD3/ZBTB17/HIPK2/PKN1/RELA/TGFB1I1/DOT1L/TADA3/MAX/CRY1/RBPJ/DLL1/CRTC3/AIP/FIZ1/MED12/KAT6A/MTA1/BCL2/TCF12/KAT8/STK4/PRMT2/SMAD4/ATOH8/SIRT1/PER1/MED16/SMARCA1/HDAC4/JUP/SPEN/PARP1/RXRA/INTS13/NCOR2/MAPK3/ELK1/BMAL1/UBXN7/RAD21/ACTN4/MAVS/BHLHE41/PPARA/EEF1D/ASCL1/STAT5B/SIRT2/ID3/ADD1/ASXL1/ATF4/TBX3/SRARP/MED25/VHL/TOB2/NCOA6/KDM3A/PBXIP1/TCF3/KAT2B/CRKL/PRDM16/CTBP2/ZNF703/NFIA/PCNA/CTDP1/TAL1/NCOR1/TRIP4/RPS3/MED1/SMARCE1/REST/BCL3/ID4/HDAC1/STAT5A/SP100/NCAPG2/NOTCH2/LRIF1/BAZ2A/HDAC5/NFATC1/PBX2/ETS1/LYAR/ARID5A/NSD1/CREB3/HES1/IKZF4/BBS2/LCOR/DDX20/SYVN1/TFDP1/ZNF516/SP3/TLE1/CD34/MTA2/SMARCB1/WIPI1/TACC1/CRTC2/PSMC5/E2F1/NUCKS1/CEBPG/MTDH/SNW1/XPO1/TRIP6/RFC1/TPT1/YAP1/STAT3/BRD8/DNMT3A/LATS1/PRKCB/CEBPB/GATA2,GO_MF,SETD1A/ZMYND8/YY1/NFKBIA/CBX5/CREBBP/FOXO4/MAP3K10/PADI2/HIRA/AKAP8/USF2/NCOA1/HCFC1/ARID1A/SKI/LMO3/SMARCD3/WFS1/TLE4/EBF4/NFYB/KEAP1/JUND/ZBTB7A/CHD4/SOX10/SOX8/DAXX/PTMA/SETD3/ZBTB17/HIPK2/RBPJ/AIP/MED12/TCF12/KAT8/PRMT2/PER1/ASCL1,41
GO:0001217,DNA-binding transcription repressor activity,187,0.47017695130249304,2.420785226145388,9.997082099245932e-14,1.262964705204736e-11,9.85677217504599e-12,3375,"tags=49%, list=27%, signal=36%",MXI1/YY1/ZBTB34/CTCF/HDGF/NACC1/ZBTB12/ZNF219/MITF/SKI/E2F6/NFKB1/ZNF205/PURA/ZBTB7B/ZBTB7A/HEY2/ZBTB16/CC2D1A/MSX1/ZBTB17/RELA/ZEB2/ERF/ZBTB20/MAX/ZBTB14/SOX13/POU6F1/ZGPAT/NR2F1/HIC1/THAP11/ZBTB2/ZBTB5/FOXK2/ZBTB46/MAFK/SALL1/BHLHE41/PPARA/NACC2/ASCL1/BACH1/ZEB1/TBX3/CC2D1B/ZBTB1/ZFHX3/NR2F2/NFATC3/TCF3/FOXO1/PRDM16/NFATC4/ZNF692/PAX6/NFE2L1/MZF1/REST/TGIF1/ENO1/TRPS1/KLF16/JDP2/BCL6B/IKZF5/SMAD5/NR3C1/ELK3/FOXO3/HES1/SOX6/NR2F6/GTF2IRD1/ZNF148/SP3/GLIS2/IRF3/ESRRA/ZNF281/NR2E1/NR1D1/NFIL3/CEBPB/SKIL/ETV3/ZNF668/MLXIPL/ATF7/ZNF512B,GO_MF,MXI1/YY1/CTCF/HDGF/NACC1/ZNF219/SKI/ZNF205/ZBTB7B/ZBTB7A/ZBTB16/CC2D1A/ZBTB17/ZEB2/ERF/POU6F1/ASCL1,17
GO:0003779,actin binding,337,0.3682397829311411,2.0317660612252726,8.163308961491385e-11,7.734735241013088e-9,6.0365521531028406e-9,3173,"tags=40%, list=26%, signal=31%",S100A4/FLII/MYOT/ANLN/COBL/HDGF/PICK1/TPRN/CORO1C/KLHL17/GAS2L1/MTSS2/SMTN/INPPL1/EZR/CLMN/DBN1/VASP/TMEM201/KLHL2/TNS1/CROCC/FMNL2/NF2/SPIRE1/LIMCH1/DIXDC1/ITPRID2/CORO7/PLEC/ABL1/IQGAP1/MYO9B/ABL2/CAMK2B/BCL7B/SETD3/MIB2/KLHL5/PDLIM7/CXCR4/TLN1/WIPF2/MYO10/PPP1R9B/SSH2/GSN/CALD1/HIP1R/KPTN/ENAH/MYO18A/HIP1/NEBL/FAM107A/DAAM2/SSH3/VASH1/WHAMM/ACTN4/TWF1/WASH6P/RDX/ERMN/AIF1L/FHOD1/BIN1/SPTBN1/ITGB1/SYNE2/ADD1/PLEKHG3/MICAL3/TPM2/SSH1/LSP1/MYH3/MYO1E/LASP1/DST/FXYD5/CORO1B/MYO1C/FHL3/MTSS1/FMNL3/DIAPH1/NEXN/MYRIP/MICALL2/RAI14/MYH9/HNRNPU/MAP1A/CGN/PARVA/SHTN1/MYBPC1/SHANK3/PHACTR3/MACF1/MYO1D/TRIOBP/AFDN/CTNNA1/MRTFA/MYH7B/AMOTL2/ARPC5/NOS3/P4HB/SNTA1/ADCY8/SHROOM1/KCNMA1/WASF3/WASF2/PFN1/COTL1/EPB41L1/EGFR/PARVG/FGD4/MYO1F/ARPC1B/INO80/ABI3/MAP1B/ADD3/DAG1/LUZP1/SPTBN4/PAWR/PPP1R18/ABLIM1,GO_MF,S100A4/FLII/MYOT/ANLN/COBL/HDGF/PICK1/TPRN/CORO1C/KLHL17/GAS2L1/MTSS2/SMTN/INPPL1/EZR/CLMN/DBN1/VASP/KLHL2/TNS1/CROCC/FMNL2/NF2/SPIRE1/LIMCH1/ITPRID2/CORO7/PLEC/ABL1/IQGAP1/MYO9B/CAMK2B/BCL7B/SETD3/MIB2/KLHL5/CXCR4/TLN1/CALD1/HIP1/VASH1/AIF1L/ITGB1/PLEKHG3,44
GO:0016874,ligase activity,141,-0.44723828593769505,-2.2616060300629637,9.387096406366617e-10,6.468562796387177e-8,5.0483714644765925e-8,3462,"tags=48%, list=28%, signal=35%",SUCLG2/CARS1/ASNSD1/ATP6V0C/RTCB/ADSS2/RIMKLA/SLC27A4/NAPRT/DIP2A/GARS1/EPRS1/ATP5PD/ATP5PO/MOCS3/PARS2/GCLM/ATP5MF/PFAS/TARS2/DPH6/ATP5F1B/DALRD3/YARS1/LIG3/WARS1/NARS1/YARS2/ATP5F1A/MCCC1/FARS2/MTHFD1L/FARSA/LIG4/CTPS2/SUCLA2/UBA6/RARS2/SARS1/ACSL3/WARS2/NAE1/UBA5/RTCA/GATB/KARS1/ASS1/GART/ATP5F1C/TTLL1/ACSL4/ASNS/FARSB/HARS2/RARS1/AARS2/IARS1/ATP5PF/ACSL6/LARS1/MTHFD1/SUCLG1/PPCS/EARS2/MCCC2/GSS/PCCB/ATP5PB,GO_MF,KARS1/GART/ACSL4/FARSB/RARS1/LARS1/MTHFD1/SUCLG1/EARS2/MCCC2/GSS/PCCB/ATP5PB,13
GO:0140993,histone modifying activity,171,0.39426722115323704,2.0090871070985434,1.951402916223539e-7,8.21757450276357e-6,6.413382683728824e-6,2868,"tags=41%, list=23%, signal=32%",SETD1A/SRCAP/SETD2/JADE2/CREBBP/BAZ1B/KDM2A/PADI2/NCOA1/EP300/KMT2D/FBL/MIER1/EHMT1/MSL2/DCAF1/MIER2/BRPF1/SETD3/PKN1/RNF168/PHF2/SIRT7/PHF10/DOT1L/KAT6A/KAT6B/KAT8/PRMT2/SIRT1/HDAC4/KMT2C/KDM6B/NSD2/BRPF3/RPS6KA5/SIRT2/NAA60/BRD1/KMT5A/JARID2/KDM3A/KAT2B/PRDM16/SETD1B/KDM3B/KDM1B/JMJD6/KMT5C/KDM5C/USP3/HDAC10/GTF3C4/EYA2/HDAC1/KDM5A/BAP1/USP49/HDAC5/WDR5/TGM2/SIRT4/NSD1/KMT2A/RNF20/MTA2/MCM3AP/RSBN1/MECOM/ASH1L,GO_MF,SETD1A/SRCAP/JADE2/CREBBP/BAZ1B/KDM2A/PADI2/NCOA1/KMT2D/FBL/EHMT1/SETD3/PHF2/SIRT7/PHF10/KAT8/PRMT2,17
GO:0009055,electron transfer activity,88,-0.4639393010184778,-2.149163900721506,3.691078074396499e-7,1.3989185901962731e-5,1.0917820409530696e-5,4673,"tags=73%, list=38%, signal=46%",ADH5/UQCRFS1/ALDH2/UQCR11/COX5B/NDUFB4/NDUFS3/ETFB/NDUFV2/ALDH4A1/UQCRC1/NCF1/NDUFB8/HSD17B6/NDUFB2/COX11/SDHA/NDUFS5/NDUFB3/COX7A2L/CYC1/COX7A2/IDH3B/NDUFS6/COX4I1/AIFM2/NDUFA12/GLDC/NDUFC1/UQCRH/NDUFB1/MAOB/NDUFV1/GLRX2/NDUFB6/NDUFS4/ETFA/SDHD/COX6B1/NDUFA9/NDUFC2/NDUFV3/ETFDH/FDX2/CIAPIN1/CYCS/GFUS/NDUFA2/NDUFS1/NDUFA1/ASPH/NQO2/SDHC/GSR/SDHB/NDUFA10/NDUFA6/SRD5A1/COX7B/NDUFA5/ME1/UQCR10/NDUFB5/ME2,GO_MF,ASPH/SDHB/NDUFA10/NDUFA6/SRD5A1/COX7B/NDUFA5/ME1/UQCR10/NDUFB5/ME2,11
GO:0000049,tRNA binding,75,-0.4850643760779698,-2.1656314742130993,4.597596846793448e-7,1.659513528509254e-5,1.2951626205002096e-5,2299,"tags=40%, list=19%, signal=33%",DALRD3/YARS1/PUS1/MRPS27/ALKBH8/YARS2/FARS2/FARSA/TRMT11/TRMT1/DTD1/SARS1/TRNT1/TYW5/EIF1AX/KARS1/NSUN2/TARBP1/TRMT9B/EIF2S3/RARS1/AARS2/DUS2/IARS1/METTL1/EARS2/QTRT2/PTRH1/THUMPD3/NAT10,GO_MF,KARS1/RARS1/EARS2/PTRH1/THUMPD3/NAT10,6
