ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,Category,Validated_Genes_Found,n_Validated
hsa00190,Oxidative phosphorylation,104,-0.5191573982369666,-2.471273050880441,5.886897845715509e-10,1.9014680041661094e-7,1.0844285505265411e-7,3149,"tags=49%, list=25%, signal=37%",ATP6V1B2/NDUFA11/NDUFS4/NDUFB1/ATP5MC3/NDUFAB1/ATP5ME/COX6B1/NDUFV1/PPA2/NDUFB6/ATP6V1A/COX4I1/NDUFA9/SDHD/COX7A2L/ATP5F1A/ATP5MC1/ATP5F1B/ATP5PD/ATP6V1E1/NDUFC2/ATP6AP1/ATP5MF/ATP6V0E2/NDUFA3/COX10/ATP6V1G2/NDUFA2/NDUFA1/ATP5PF/SDHC/SDHA/ATP5F1C/UQCRB/ATP6V1D/SDHB/CYCS/COX7B/UQCR10/ATP5PB/NDUFV3/UQCRC2/ATP6V1H/NDUFA10/NDUFA6/NDUFS1/NDUFA5/ATP6V1G1/COX15/NDUFB5,KEGG,,0
hsa04722,Neurotrophin signaling pathway,107,0.4808214475977398,2.2358039932873317,4.188961601731088e-8,3.5741076101290015e-6,2.0383536965050527e-6,1708,"tags=37%, list=14%, signal=33%",CAMK2G/RAPGEF1/RPS6KA2/NFKBIA/NFKB1/RAF1/PIK3CD/IRAK1/BAD/PIK3R2/MAP2K7/RAP1A/SORT1/MATK/PRDM4/CAMK2B/IRAK2/BCL2/CRKL/GAB1/PTPN11/MAPKAPK2/NFKBIB/CRK/PLCG1/ABL1/RELA/IRS1/SOS2/PIK3R3/MAP2K2/MAPK7/SHC2/CALML4/MAPK3/RPS6KA5/IKBKB/ATF4/MAP3K3/AKT1,KEGG,,0
hsa05206,MicroRNAs in cancer,127,0.4516384685578283,2.16043245384811,4.493949630226251e-8,3.5741076101290015e-6,2.0383536965050527e-6,3601,"tags=50%, list=29%, signal=36%",CREBBP/NFKB1/RAF1/IRS2/PIK3CD/PIK3R2/EZR/HDAC4/PAK4/DDIT4/EP300/BCL2/CRKL/SLC45A3/CRK/PLCG1/ABL1/SIRT1/ZEB2/IRS1/SOS2/PDGFRB/PIK3R3/MAP2K2/NOTCH1/MAPK7/ERBB3/NOTCH4/RDX/BMI1/SLC7A1/MAPK3/RPS6KA5/IKBKB/EGFR/E2F1/DNMT1/CASP3/CDC25B/ITGA5/TGFB2/APC2/HDAC5/ZEB1/NOTCH3/PDCD4/PDGFA/PIK3CA/NOTCH2/PIM1/RHOA/TIMP3/HDAC1/ROCK1/STAT3/PRKCB/MAPK1/VIM/CCNG1/APC/UBE2I/FOXP1/EFNA1/RPTOR,KEGG,,0
hsa05225,Hepatocellular carcinoma,139,0.42743264544555076,2.0772580242807654,2.504723173259846e-7,1.348375974938217e-5,7.689939567025843e-6,2170,"tags=34%, list=17%, signal=28%",BCL2L1/AXIN1/SMARCD3/FRAT2/FRAT1/RAF1/PIK3CD/BAD/PIK3R2/KEAP1/IGF1R/WNT7A/DPF1/SMAD2/FZD9/FZD1/DVL1/FZD7/GAB1/ARID1A/SMAD4/TCF7L1/TGFB3/PLCG1/SOS2/PIK3R3/MAP2K2/TGFB1/DVL3/SHC2/ELK1/MAPK3/PHF10/BRD7/ARID2/EGFR/SMARCB1/AKT1/E2F1/AXIN2/LRP6/SMARCC2/RPS6KB2/GADD45G/TGFB2/FZD8/APC2,KEGG,,0
hsa05220,Chronic myeloid leukemia,72,0.5089568053289668,2.196418566420832,8.135475636040481e-7,3.753940900630108e-5,2.1409146410632842e-5,2097,"tags=42%, list=17%, signal=35%",BCL2L1/NFKBIA/NFKB1/RAF1/PIK3CD/BAD/PIK3R2/CHUK/BCR/CRKL/SMAD4/PTPN11/TGFB3/CRK/ABL1/RELA/SOS2/PIK3R3/MAP2K2/TGFB1/SHC2/CBL/MAPK3/IKBKB/AKT1/E2F1/GAB2/STAT5B/GADD45G/TGFB2,KEGG,,0
hsa04550,Signaling pathways regulating pluripotency of stem cells,96,0.44852995836197074,2.044700964512519,1.2474287615908213e-6,4.476883222153725e-5,2.553216763489985e-5,2412,"tags=40%, list=19%, signal=32%",AXIN1/RAF1/PIK3CD/PIK3R2/IGF1R/BMPR1A/WNT7A/SMAD2/FZD9/FZD1/DVL1/FZD7/SMAD4/KAT6A/PIK3R3/MAP2K2/DVL3/ACVR1/BMI1/MAPK3/ID4/ID3/TBX3/INHBB/AKT1/RIF1/AXIN2/ZFHX3/LIFR/REST/PAX6/FZD8/TCF3/APC2/SOX2/FGFR2/SMARCAD1/FZD6,KEGG,,0
hsa05211,Renal cell carcinoma,66,0.5176301015176286,2.1815926681167133,1.7508467057052737e-6,5.1411225994800306e-5,2.9320399377839516e-5,2559,"tags=45%, list=21%, signal=36%",RAPGEF1/CREBBP/EGLN1/RAF1/PIK3CD/BAD/PIK3R2/RAP1A/PAK4/EP300/CRKL/GAB1/PTPN11/TGFB3/CRK/SOS2/PIK3R3/MAP2K2/TGFB1/TFE3/VHL/PAK2/MAPK3/AKT1/ELOB/PRCC/TGFB2/EGLN3/ETS1/PIK3CA,KEGG,,0
hsa05226,Gastric cancer,104,0.44560505487521607,2.057403618943702,2.1645865557390896e-6,5.383348601029988e-5,3.070184145935304e-5,2412,"tags=38%, list=19%, signal=31%",AXIN1/FRAT2/FRAT1/RAF1/PIK3CD/PIK3R2/JUP/WNT7A/SMAD2/FZD9/FZD1/DVL1/FZD7/RXRA/BCL2/GAB1/SMAD4/TCF7L1/TGFB3/SOS2/PIK3R3/MAP2K2/TGFB1/DVL3/SHC2/MAPK3/EGFR/FGF17/AKT1/E2F1/AXIN2/LRP6/RPS6KB2/GADD45G/TGFB2/FZD8/APC2/CTNNA1/FGFR2/FZD6,KEGG,,0
hsa04012,ErbB signaling pathway,80,0.4756133413400897,2.0978272114450776,4.94116522501042e-6,1.0639975784522438e-4,6.0680976447496395e-5,1756,"tags=35%, list=14%, signal=30%",CAMK2G/RAF1/NCK1/PIK3CD/BAD/PIK3R2/NCK2/MAP2K7/PAK4/ABL2/CAMK2B/CRKL/GAB1/CRK/PLCG1/ABL1/SOS2/PIK3R3/MAP2K2/ERBB3/SHC2/PAK2/CBL/ELK1/MAPK3/EGFR/AKT1/STAT5B,KEGG,,0
hsa05215,Prostate cancer,83,0.45590180292886806,2.028567343974886,2.017653127675644e-5,3.2585098011961647e-4,1.8583647228591457e-4,1713,"tags=30%, list=14%, signal=26%",CREBBP/NFKBIA/NFKB1/RAF1/PIK3CD/BAD/PIK3R2/IGF1R/CHUK/CREB3/EP300/BCL2/TCF7L1/RELA/SOS2/PDGFRB/PIK3R3/MAP2K2/FOXO1/MAPK3/IKBKB/ATF4/EGFR/AKT1/E2F1,KEGG,,0
