ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,Category,Validated_Genes_Found,n_Validated
hsa00190,Oxidative phosphorylation,104,-0.5155110578577885,-2.4811018929824917,7.465825722182687e-11,1.205730854132504e-8,6.247717314879197e-9,4529,"tags=72%, list=36%, signal=46%",UQCR11/COX5B/NDUFB4/NDUFS3/NDUFB11/ATP5F1E/NDUFV2/UQCRC1/NDUFB8/COX4I2/ATP6V0D1/NDUFB2/COX11/ATP5MG/SDHA/COX6C/NDUFS5/ATP6V0C/NDUFB3/COX7A2L/ATP6V1F/CYC1/COX7A2/NDUFS6/COX4I1/ATP6V1C1/NDUFA12/ATP6V1A/NDUFC1/UQCRH/ATP5PD/ATP5PO/NDUFB1/ATP6V0E2/ATP5MF/NDUFAB1/NDUFA11/ATP5MC1/ATP5F1B/ATP6V1B2/ATP5MC3/NDUFV1/NDUFB6/ATP5F1A/ATP6AP1/NDUFS4/SDHD/COX6B1/UQCRB/ATP6V1E1/NDUFA9/NDUFC2/NDUFV3/ATP6V1D/ATP6V1G2/ATP5F1C/CYCS/NDUFA2/NDUFS1/NDUFA1/UQCRC2/ATP6V1H/SDHC/ATP5PF/COX10/SDHB/NDUFA10/NDUFA6/COX7B/NDUFA5/ATP5PB/ATP6V1G1/COX15/UQCR10/NDUFB5,KEGG,SDHB/NDUFA10/NDUFA6/COX7B/NDUFA5/ATP5PB/ATP6V1G1/COX15/UQCR10/NDUFB5,10
hsa05014,Amyotrophic lateral sclerosis,299,-0.37259927912360097,-2.0941714690417483,6.527652374479568e-11,1.205730854132504e-8,6.247717314879197e-9,4487,"tags=59%, list=36%, signal=39%",BID/COX5B/NUP37/ATF6/SIGMAR1/CHMP2B/GRIA1/NDUFB4/NDUFS3/NDUFB11/PSMB5/ATP5F1E/NDUFV2/UQCRC1/NUP50/MAPK13/KLC1/NDUFB8/PSMD9/CHCHD10/DNAI1/COX4I2/UBQLN2/NDUFB2/PSMC6/PSMC2/TANK/NRG3/RAB39B/PPP3CB/NUP85/PIK3R4/SLC1A2/CAT/SDHA/MATR3/PSMD3/DERL1/NRBF2/NOS1/ACTB/ULK2/COX6C/PSMC4/NDUFS5/MCU/NDUFB3/COX7A2L/PSMB1/GRIN2A/DCTN2/CYC1/COX7A2/SEH1L/NDUFS6/TUBA8/COX4I1/NOS2/NUP35/NDUFA12/ALS2/NDUFC1/UQCRH/ATP5PD/NUP153/ANXA11/ATP5PO/VCP/NUP54/GRIA2/NDUFB1/RAE1/EIF2S1/ERBB4/PSMC3/NDUFAB1/PSMC1/NDUFA11/XBP1/ATP5MC1/ATP5F1B/DCTN3/NUP58/RAB1A/TUBA4A/PSMD12/NUP155/PPP3R1/SPG11/ATP5MC3/PIK3C3/NDUFV1/RAB5A/PSMB7/NDUFB6/TOMM40L/NDC1/ATP5F1A/NDUFS4/TUBB/HSPA5/ATG14/SDHD/PSMA1/UBQLN1/COX6B1/MAP1LC3B/MAPK12/GRIN2D/PSMA6/PSMD13/UQCRB/PSMB4/C9orf72/NRG4/NRG1/DNAH7/GPX7/PSMD14/TUBA1B/HNRNPA1/PSMD8/NDUFA9/VDAC1/NDUFC2/PSMA2/ANXA7/NUP210/DCTN6/NDUFV3/MAP1LC3A/DNAH9/DDIT3/SOD1/GLE1/ALYREF/ATP5F1C/CYCS/PFN2/FIG4/TOMM40/NDUFA2/TUBA1A/TUBB4B/NUP133/NDUFS1/DNAL4/NDUFA1/NCBP1/UQCRC2/HNRNPA1L3/SEM1/TUBB2A/SDHC/DCTN4/DNAH1/PSMA5/ATP5PF/TUBB3/ACTG1/GPX3/SDHB/NDUFA10/CASP9/NDUFA6/WDR41/COX7B/TUBB2B/PSMB2/PSMA3/ACTR10/NDUFA5/ATP5PB/CCS/UQCR10/NDUFB5,KEGG,DNAL4/ACTG1/SDHB/NDUFA10/CASP9/NDUFA6/WDR41/COX7B/TUBB2B/PSMB2/PSMA3/ACTR10/NDUFA5/ATP5PB/CCS/UQCR10/NDUFB5,17
hsa05206,MicroRNAs in cancer,127,0.481528548562417,2.3606243724557507,2.6959268939703433e-10,2.9026146225080697e-8,1.504043425057139e-8,3145,"tags=46%, list=25%, signal=34%",PAK4/RAF1/CREBBP/SLC45A3/PIK3R2/EP300/EZR/NFKB1/IRS2/PLCG1/DDIT4/ABL1/CRK/PIK3CD/ERBB3/NOTCH1/ZEB2/SOS2/BMI1/IKBKB/BCL2/PDGFRB/SIRT1/HDAC4/MAPK3/DNMT1/ROCK1/MAPK7/RDX/NOTCH4/NOTCH3/RPS6KA5/ZEB1/CRKL/IRS1/PIK3R3/ITGA5/SLC7A1/PDGFA/HDAC1/RASSF1/MAP2K2/NOTCH2/UBE2I/HDAC5/PIM1/CCNG1/TGFB2/TIMP3/CASP3/TNXB/EGFR/E2F1/SOS1/VIM/STAT3/DNMT3A/PRKCB,KEGG,PAK4/RAF1/CREBBP/SLC45A3/PIK3R2/EZR/IRS2/PLCG1/DDIT4/ABL1/CRK/ERBB3/ZEB2/IKBKB/PDGFRB,15
hsa05020,Prion disease,213,-0.38182724476157287,-2.0611875488766547,9.240067991837295e-9,5.969083922726891e-7,3.092991180425537e-7,4260,"tags=57%, list=34%, signal=38%",PSMB5/CAV2/CACNA1B/ATP5F1E/NDUFV2/UQCRC1/MAPK9/MAPK13/KLC1/MAPK10/NCF1/NDUFB8/PSMD9/COX4I2/NDUFB2/PSMC6/PSMC2/RYR3/SLC25A4/PRKACB/PPP3CB/VDAC3/PRKCD/SDHA/PSMD3/COX6C/PSMC4/EGR1/NDUFS5/PRNP/MCU/PPIF/NDUFB3/COX7A2L/PSMB1/GRIN2A/CYC1/COX7A2/NDUFS6/TUBA8/COX4I1/GSK3B/ITPR1/NDUFA12/NDUFC1/UQCRH/ATP5PD/ATP5PO/PRKACA/NDUFB1/CREB3L4/EIF2S1/PSMC3/NDUFAB1/PSMC1/SLC25A5/NDUFA11/ATP5MC1/ATP5F1B/SLC25A6/TUBA4A/PSMD12/PPP3R1/ATP5MC3/NDUFV1/PSMB7/NDUFB6/ATP5F1A/NDUFS4/TUBB/HSPA5/SDHD/PSMA1/COX6B1/MAPK12/GRIN2D/PSMA6/PSMD13/UQCRB/PSMB4/PSMD14/HSPA8/TUBA1B/PSMD8/NDUFA9/VDAC1/NDUFC2/PSMA2/NDUFV3/DDIT3/SOD1/CREB3L1/ATP5F1C/CYCS/MAPK8/NDUFA2/TUBA1A/TUBB4B/NDUFS1/NDUFA1/CSNK2A1/UQCRC2/SEM1/TUBB2A/SDHC/VDAC2/PSMA5/ATP5PF/TUBB3/SDHB/NDUFA10/CASP9/NDUFA6/COX7B/TUBB2B/PSMB2/PSMA3/NDUFA5/ATP5PB/UQCR10/NDUFB5,KEGG,SDHB/NDUFA10/CASP9/NDUFA6/COX7B/TUBB2B/PSMB2/PSMA3/NDUFA5/ATP5PB/UQCR10/NDUFB5,12
hsa04510,Focal adhesion,158,0.4270991043375589,2.1505578808024266,3.6813228806829786e-8,1.981778817434337e-6,1.0268953298747258e-6,2884,"tags=42%, list=23%, signal=32%",PAK4/ARHGAP35/PPP1CC/RAF1/RAPGEF1/BCAR1/PIK3R2/VASP/ITGA10/BAD/RAP1A/ITGB5/CRK/PIK3CD/LAMB2/ILK/PXN/CAPN2/SOS2/DOCK1/TLN1/BCL2/PDGFRB/COL6A2/ARHGAP5/AKT1/IGF1R/MAPK3/ELK1/SPP1/COL9A2/ROCK1/ACTN4/PAK2/ITGB1/PIP5K1C/ITGB8/FYN/PGF/LAMA2/VEGFB/COL1A2/CRKL/PIK3R3/CCND3/SHC2/EMP2/COL6A1/DIAPH1/ITGA5/PDGFA/THBS2/PPP1R12C/CAV1/PARVA/BIRC2/LAMA5/FLT4/MYL12A/RAC1/LAMC1/TNXB/LAMA1/FLT1/EGFR/PARVG,KEGG,PAK4/ARHGAP35/PPP1CC/RAF1/RAPGEF1/BCAR1/PIK3R2/VASP/ITGA10/BAD/RAP1A/ITGB5/CRK/LAMB2/ILK/DOCK1/TLN1/PDGFRB/COL6A2/ITGB1,20
hsa05220,Chronic myeloid leukemia,72,0.5289581486761451,2.334510413211067,1.2466833079888656e-7,5.033483856005045e-6,2.608192710134601e-6,3116,"tags=54%, list=25%, signal=41%",BCL2L1/NFKBIA/RAF1/PIK3R2/NFKB1/BAD/TGFB1/CHUK/ABL1/CRK/PIK3CD/RELA/SOS2/IKBKB/PTPN11/SMAD4/TGFB3/AKT1/MAPK3/GAB2/STAT5B/CRKL/CTBP2/PIK3R3/BCR/SHC2/HDAC1/STAT5A/MAP2K2/DDB2/CBL/BAX/TGFB2/TGFBR1/MECOM/E2F1/GADD45G/SOS1/AKT2,KEGG,BCL2L1/NFKBIA/RAF1/PIK3R2/BAD/TGFB1/ABL1/CRK/IKBKB/TGFB3/GAB2,11
hsa04722,Neurotrophin signaling pathway,107,0.4643829310849771,2.1997822627605834,1.521192573292939e-7,5.459391124151325e-6,2.828884434544764e-6,2158,"tags=39%, list=17%, signal=33%",NFKBIA/RAF1/MAP2K7/RAPGEF1/PIK3R2/CAMK2G/NFKB1/BAD/SORT1/MAP3K3/PLCG1/GAB1/IRAK2/RPS6KA2/RAP1A/ABL1/CRK/PIK3CD/CAMK2B/IRAK1/RELA/SOS2/MAPKAPK2/IKBKB/NFKBIB/BCL2/PTPN11/AKT1/MAPK3/MAPK7/RPS6KA1/RPS6KA5/ATF4/CRKL/PRDM4/IRS1/PIK3R3/SHC2/SH2B2/CALML4/MATK/MAP2K2,KEGG,NFKBIA/RAF1/MAP2K7/RAPGEF1/PIK3R2/CAMK2G/BAD/SORT1/MAP3K3/PLCG1/GAB1/RPS6KA2/RAP1A/ABL1/CRK/CAMK2B/IKBKB/NFKBIB,18
hsa05205,Proteoglycans in cancer,153,0.40005239024688044,2.008252425716991,4.089622663346231e-7,1.3209481202608325e-5,6.844736878653166e-6,3406,"tags=42%, list=27%, signal=31%",HSPB2/PPP1CC/RAF1/MRAS/PIK3R2/FZD9/EZR/CAMK2G/TGFB1/PLCG1/GAB1/ITGB5/IQGAP1/PIK3CD/CAMK2B/SMAD2/ERBB3/PXN/SOS2/PTPN11/FZD1/AKT1/IGF1R/MAPK3/ELK1/ARHGEF12/ROCK1/SMO/RDX/FZD8/PLCE1/ITGB1/COL1A2/PTCH1/PIK3R3/ITGA5/FZD7/PPP1R12C/RPS6KB2/TIAM1/CAV1/WNT7A/MAP2K2/CBL/RPS6/TGFB2/RAC1/HPSE2/TIMP3/CASP3/EGFR/SOS1/ARHGEF1/ANK2/CD63/STAT3/AKT2/SDC4/PRKCB/PLAUR/NUDT16L1/PTPN6/RHOA/TLR4/DCN,KEGG,HSPB2/PPP1CC/RAF1/MRAS/PIK3R2/FZD9/EZR/CAMK2G/TGFB1/PLCG1/GAB1/ITGB5/IQGAP1/CAMK2B/ERBB3/ITGB1,16
hsa04550,Signaling pathways regulating pluripotency of stem cells,96,0.46031752013815697,2.149209668648545,5.564605355661257e-7,1.6339704817078054e-5,8.466720110527655e-6,2312,"tags=36%, list=19%, signal=30%",RAF1/PIK3R2/DVL1/FZD9/AXIN1/BMPR1A/DVL3/PIK3CD/SMAD2/BMI1/KAT6A/SMAD4/FZD1/AKT1/IGF1R/MAPK3/FZD8/ID3/TBX3/ZFHX3/JARID2/TCF3/PIK3R3/SOX2/PAX6/DVL2/LIFR/FZD7/REST/ID4/PCGF1/WNT7A/MAP2K2/SMAD5/FGFR2,KEGG,RAF1/PIK3R2/DVL1/FZD9/AXIN1/DVL3,6
hsa05225,Hepatocellular carcinoma,139,0.4089732522418752,2.027137869852407,6.45457668925148e-7,1.6506304726877613e-5,8.553046933594724e-6,2328,"tags=34%, list=19%, signal=28%",BCL2L1/RAF1/FRAT2/PIK3R2/ARID1A/DVL1/FZD9/SMARCD3/FRAT1/AXIN1/BAD/KEAP1/TGFB1/DPF1/PLCG1/GAB1/DVL3/PIK3CD/SMAD2/BRD7/PHF10/SOS2/SMAD4/TCF7L1/TGFB3/FZD1/AKT1/IGF1R/MAPK3/ELK1/SMARCC1/FZD8/SMARCC2/PIK3R3/ARID2/SHC2/PBRM1/SMARCE1/DVL2/FZD7/LRP6/RPS6KB2/WNT7A/MAP2K2/DDB2/ACTL6A/BAX,KEGG,BCL2L1/RAF1/FRAT2/PIK3R2/ARID1A/DVL1/FZD9/SMARCD3/AXIN1/BAD/KEAP1/TGFB1/PLCG1/GAB1/DVL3/BRD7/PHF10/TGFB3,18
