ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,Category,Validated_Genes_Found,n_Validated
hsa05206,MicroRNAs in cancer,127,0.4725418185877611,2.2304324890615543,2.640629627088387e-9,8.52923369549549e-7,5.11448264615014e-7,3001,"tags=43%, list=24%, signal=33%",CREBBP/RAF1/PAK4/SLC45A3/PLCG1/EP300/EZR/NFKB1/PIK3R2/ERBB3/ABL1/DDIT4/SOS2/CRKL/PDGFRB/IKBKB/ZEB2/NOTCH1/CRK/PIK3CD/HDAC4/CDC25B/SIRT1/MAPK3/IRS2/NOTCH3/DNMT1/ZEB1/BMI1/RDX/MAP2K2/MAPK7/NOTCH4/SLC7A1/EGFR/BCL2/PDGFA/HDAC5/TGFB2/PIK3R3/NOTCH2/ROCK1/HDAC1/IRS1/RPS6KA5/APC/ITGA5/E2F1/VIM/APC2/TIMP3/CCNG1/HDAC2/RASSF1,KEGG,CREBBP/RAF1/PAK4/SLC45A3/PLCG1/PIK3R2/ERBB3/ABL1/ZEB2/CRK,10
hsa04510,Focal adhesion,158,0.43701150998458704,2.1143919262086577,2.4884862606955428e-8,4.018905311023302e-6,2.409902484042e-6,2621,"tags=39%, list=21%, signal=31%",RAPGEF1/ARHGAP35/PPP1CC/RAF1/PAK4/PIK3R2/DOCK1/BCAR1/ITGB5/CAPN2/COL6A2/SOS2/CRKL/ILK/RAP1A/TLN1/COL6A1/PDGFRB/BAD/SPP1/LAMB2/VASP/CRK/PIK3CD/ITGB8/VAV2/ITGA10/MAPK3/VEGFB/THBS2/PARVA/COL9A2/ITGB1/AKT1/PAK2/ARHGAP5/IGF1R/SHC2/PIP5K1C/CAV1/ELK1/PXN/FYN/EGFR/BCL2/PGF/PPP1R12C/PDGFA/PIK3R3/LAMA5/COL1A2/ROCK1/LAMA1/LAMA2/RAC1/COL4A5/BIRC2/ITGA5/EMP2/AKT2/LAMC1/ACTN4,KEGG,RAPGEF1/ARHGAP35/PPP1CC/RAF1/PAK4/PIK3R2/DOCK1/ITGB5/COL6A2/RAP1A/BAD/LAMB2/CRK,13
hsa04390,Hippo signaling pathway,114,0.43308312964811635,2.003060148131584,1.2143505509734773e-6,7.844704559288663e-5,4.7040105553498915e-5,2868,"tags=43%, list=23%, signal=33%",PPP1CC/AXIN1/DVL3/TGFB3/SMAD7/BMPR1A/CRB2/LLGL1/FZD9/DVL1/TCF7L1/FZD8/TEAD2/SMAD2/DLG5/NF2/SMAD4/TGFB1/FZD1/SCRIB/DLG1/WNT7A/WWC1/PALS1/WTIP/PARD6A/CTNNA1/WWTR1/FZD7/FBXW11/AMOT/LLGL2/SOX2/DVL2/TEAD1/TGFB2/PARD3/FGF1/SAV1/BIRC2/APC/CSNK1D/BMP7/LEF1/CSNK1E/APC2/YAP1/CCND3/ID2,KEGG,PPP1CC/AXIN1/DVL3/TGFB3/CRB2/DVL1/TEAD2/NF2,8
hsa04722,Neurotrophin signaling pathway,107,0.44554246393780167,2.0486601326872624,1.6335219264569821e-6,8.793793037426754e-5,5.273123411720785e-5,2295,"tags=41%, list=18%, signal=34%",RAPGEF1/NFKBIA/RAF1/PLCG1/MAP2K7/NFKB1/CAMK2G/PIK3R2/GAB1/ABL1/IRAK2/SORT1/SOS2/CRKL/RAP1A/IKBKB/MAPKAPK2/BAD/CRK/PIK3CD/IRAK1/MAPK3/CAMK2B/MAP3K3/MATK/RELA/AKT1/RPS6KA2/PRDM4/NFKBIB/PTPN11/MAP2K2/SH2B2/SHC2/MAPK7/RPS6KA1/BCL2/MAP3K1/CALML4/PIK3R3/BAX/IRS1/RPS6KA5/RAC1,KEGG,RAPGEF1/NFKBIA/RAF1/PLCG1/MAP2K7/CAMK2G/PIK3R2/GAB1/ABL1/SORT1/RAP1A/BAD/CRK/RELA,14
hsa04662,B cell receptor signaling pathway,53,0.5395924727569175,2.180236464715033,4.6395685341401086e-6,1.0704147403766109e-4,6.418651205126167e-5,2484,"tags=43%, list=20%, signal=35%",NFKBIA/RAF1/INPPL1/NFKB1/PIK3R2/CD22/CHUK/SOS2/IKBKB/PIK3CD/VAV2/MAPK3/RASGRP3/RELA/AKT1/NFKBIB/MAP2K2/INPP5D/PPP3CC/PIK3R3/NFATC3/RAC1/AKT2,KEGG,NFKBIA/RAF1/INPPL1/PIK3R2/CD22/RELA,6
hsa05220,Chronic myeloid leukemia,72,0.49913966095502726,2.158940865171324,2.431817951862182e-6,1.0704147403766109e-4,6.418651205126167e-5,2557,"tags=47%, list=21%, signal=38%",BCL2L1/NFKBIA/RAF1/NFKB1/PIK3R2/TGFB3/ABL1/CHUK/SOS2/CRKL/IKBKB/BAD/CRK/PIK3CD/SMAD4/TGFB1/MAPK3/RELA/GAB2/AKT1/PTPN11/MAP2K2/SHC2/STAT5B/DDB2/TGFB2/PIK3R3/STAT5A/HDAC1/BAX/CTBP2/AKT2/E2F1/CTBP1,KEGG,BCL2L1/NFKBIA/RAF1/PIK3R2/TGFB3/ABL1/BAD/CRK/RELA,9
hsa05226,Gastric cancer,104,0.44026159506291523,2.0179203483046777,3.02024443718624e-6,1.0704147403766109e-4,6.418651205126167e-5,2779,"tags=43%, list=22%, signal=34%",RAF1/AXIN1/FRAT2/DVL3/PIK3R2/TGFB3/GAB1/FZD9/DVL1/FRAT1/SOS2/TCF7L1/FZD8/SMAD2/PIK3CD/SMAD4/TGFB1/FZD1/MAPK3/WNT7A/JUP/AKT1/FGFR2/CTNNA1/MAP2K2/SHC2/FZD7/DVL2/RXRA/EGFR/BCL2/DDB2/LRP5/TGFB2/PIK3R3/FGF17/RPS6KB2/FGF1/BAX/APC/AKT2/E2F1/LEF1/APC2/LRP6,KEGG,RAF1/AXIN1/FRAT2/DVL3/PIK3R2/TGFB3/GAB1/DVL1,8
hsa04518,Integrin signaling,108,0.4368560208707356,2.0121978855341642,3.4370192007619045e-6,1.0704147403766109e-4,6.418651205126167e-5,2816,"tags=38%, list=23%, signal=30%",NPNT/NCK2/PIK3R2/ITGB5/COL6A2/ILK/TLN1/COL6A1/PDGFRB/SPP1/LAMB2/PIK3CD/TGFB1/ITGB8/ITGA10/VEGFB/THBS2/PARVA/COL9A2/ITGB1/AKT1/IGF1R/PXN/EGFR/ARHGEF6/PGF/ITGAX/PDGFA/PIK3R3/LAMA5/COL1A2/LAMA1/LAMA2/RAC1/COL4A5/ITGA5/AKT2/LAMC1/ACTN4/FLT1/CCND3,KEGG,NCK2/PIK3R2/ITGB5/COL6A2/LAMB2,5
hsa03082,ATP-dependent chromatin remodeling,96,0.44167571843056463,2.0051909134053907,1.8407455552390483e-5,3.4974165549541916e-4,2.09719617439e-4,3348,"tags=53%, list=27%, signal=39%",CDK2AP1/BAZ1B/YY1/MBD3/SRCAP/SMARCD3/ARID1A/CHD4/BRD7/BCL7B/BPTF/MRGBP/SMARCA1/PHF10/DPF1/GATAD2A/BICRA/CHD3/MTA1/RSF1/SMARCC1/H2AZ2/MCRS1/CHRAC1/SMARCE1/VPS72/PBRM1/BCL7C/BAZ1A/HDAC1/MBD2/SMARCC2/NFRKB/ACTL6A/KAT5/EPC2/ARID2/SMARCD2/INO80/EPC1/BAZ2B/GATAD2B/TRRAP/HDAC2/DPF2/BRD8/SMARCB1/INO80D/DMAP1/DPF3/CECR2,KEGG,CDK2AP1/BAZ1B/YY1/MBD3/SRCAP/SMARCD3,6
hsa04330,Notch signaling pathway,56,0.5072447727757304,2.0764806199295176,2.006923254643977e-5,3.601312284722247e-4,2.1594963675701276e-4,3040,"tags=54%, list=24%, signal=41%",CREBBP/DVL3/EP300/TLE4/DTX1/DVL1/DTX3/RBPJ/MAML1/NOTCH1/HEY2/ATXN1L/DLL4/SPEN/NOTCH3/KAT2B/RFNG/NCOR2/DLL1/NOTCH4/DVL2/NOTCH2/HDAC1/CTBP2/CTBP1/PSEN1/HES5/HES1/HDAC2/SNW1,KEGG,CREBBP/DVL3/TLE4/DTX1/DVL1/DTX3,6
