ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,Category,Validated_Genes_Found,n_Validated
GO:0008134,transcription factor binding,497,0.37787473263493354,2.0878479073076504,5.140602871327083e-16,3.8965769764659286e-13,3.127651010133741e-13,2582,"tags=35%, list=21%, signal=29%",SETD1A/YY1/HIRA/CREBBP/FBL/HCFC1/SMARCD3/ZMYND8/CTCF/DAXX/CBX5/CHD4/FOXO4/TFDP2/AKAP8/DCAF1/NFKBIA/NFKB1/NCOA1/HDGF/WFS1/USF2/MAP3K10/TLE4/PADI2/JUND/KEAP1/TADA3/LMO3/TEAD2/JUP/FIZ1/EBF4/SETD3/HDAC4/SMAD2/MED25/CGGBP1/ZBTB7A/CREB3/ENO1/AIP/RXRA/ZBTB16/SOX10/KAT5/EP300/BCL2/CRKL/WIZ/HEY2/SP1/ARID1A/SKI/ZNHIT6/SMAD4/MAX/RBPJ/TAF4/ZBTB17/PURA/MED13/UBXN7/ZNF644/NFYB/INTS13/SIRT1/MED1/MAVS/PBXIP1/RELA/KAT6A/DOT1L/MED16/KDM3A/CTDP1/PKN1/SMARCA1/MED12/TGFB1I1/ATOH8/RORA/VHL/PRDM16/PTMA/NCAPG2/SOX8/PARP1/ASCL1/NFATC1/SYVN1/FLYWCH1/EHMT1/NR3C1/TCF12/ELK1/NCOA6/PRMT2/MAPK3/THAP7/STK4/ID4/TLE1/BRF1/BMAL1/FAM89B/ID3/ZNF653/TBX3/HIPK2/ATF4/SMARCB1/SNW1/E2F1/ADD1/STAT5B/SRARP/EEF1D/LMO1/DAPK3/RFX5/DLL1/ARID5A/TFDP1/PSMC5/REST/PCNA/CD34/ELOB/NCOR2/TBX6/DDX3X/PAX6/NFIA/TOB2/CPNE1/CRY1/SPEN/CRTC3/ZNF618/BCOR/CNOT2/MTA1/BRMS1/RAD21/ZNF703/FOXO3/PPARA/SREBF1/TCF4/RPS3/TCF3/FOXF2/NSD1/YAP1/GMNN/ACTN4/STAT5A/TFAM/COMMD7/KAT8/KAT2B/PHF1/HDAC5/CEBPG/VGLL4/ZBTB43/HNRNPU/TRIP6/NR1D1/ETS1/TRIB2/BHLHE41/STK36/CTBP2,GO_MF,SETD1A/YY1,2
GO:0001216,DNA-binding transcription activator activity,241,0.46553790188485444,2.4054007513289046,1.0294919011947716e-15,3.9017743055281846e-13,3.1318227310030423e-13,2815,"tags=45%, list=23%, signal=35%",YY1/ZNF71/THAP11/SOX12/MTF1/FOXO4/TFDP2/SALL2/E2F4/NFKB1/ZBED1/NFIC/USF2/VEZF1/JUND/EBF4/HDAC4/ZFX/MITF/POU3F2/ZNF212/SMAD2/NFIB/ZNF580/CREB3/ZNF143/ZBTB7B/PRDM4/ZBTB16/PLAGL2/CREBRF/SOX10/TFEB/TEAD1/SP1/SMAD4/KLF15/RBPJ/ZBTB17/NFYB/FOXJ1/NFE2L1/ZEB2/RELA/MAFF/RFX2/GABPA/NEUROD2/FOXO1/CSRNP1/TFE3/MYCN/PBX3/KLF13/PRDM16/NFATC1/ELK3/NR3C1/TCF12/ELK1/ZSCAN21/ZNF24/ELF1/GMEB1/MSX1/FEZF2/TBX3/ATF4/E2F1/ZNF395/STAT5B/ZNF784/IRF2/RFX5/MZF1/TFDP1/PAX6/NFIA/ZNF175/BACH1/FOXO3/PPARA/FOXK2/SREBF1/TCF4/TCF3/FOXF2/KLF7/STAT5A/SOX2/ELK4/HDAC5/CLOCK/CEBPG/ETS1/BCL11B/RFX4/ZNF292/NR2E1/SOX21/ATF1/NFATC3/MAFG/ZNF639/ZFAT/GLIS1/FOXJ2/USF3,GO_MF,YY1,1
GO:0003682,chromatin binding,464,0.3731438849659279,2.05275145046656,5.09356316544496e-14,9.6523021985182e-12,7.74757765691365e-12,2763,"tags=37%, list=22%, signal=30%",CIC/YY1/STAG1/HIRA/CREBBP/RERE/HCFC1/SMARCD3/PCBP2/CTCF/SSRP1/PAF1/CBX5/MECP2/SUPT6H/CHD4/FOXO4/BRD3/E2F4/NFKB1/AHDC1/NCOA1/SAMD1/MBD3/POLA1/ING2/NCOA5/GPER1/TLE4/SMC1A/ZNF609/POLG/ZFX/PHF19/MITF/SUPT5H/ATXN1L/TADA2B/NELFA/TRIM28/SMAD2/POLD1/STAG2/MSL2/CREB3/ATRX/WAC/SOX10/KAT5/MSH6/EP300/PHC2/PHF21A/ARID1A/SMAD4/RBPJ/TNRC18/NUP62/SIRT1/MED1/NFE2L1/URI1/NUPR1/RELA/KAT6A/CBX8/SIRT7/CENPB/GABPA/NIPBL/KDM3A/CHD8/UPF1/PKN1/SMARCA1/MED12/UBTF/FOXO1/NAP1L4/RCC1/NOTCH1/CHD3/SET/REPIN1/RNF20/MLLT1/KDM3B/GATAD2B/PARP1/KAT6B/ASCL1/ASXL2/UXT/NR3C1/ELK1/BMI1/NCOA6/DNAJC2/CALCOCO1/ADNP/RNF168/MLLT3/PHF10/FEZF2/ATF4/PRDM11/EGFR/SMARCB1/CHD1/STAT5B/KDM6B/PHF13/PYGO2/ARID5A/SHMT2/SMARCC2/SETD7/REST/PCNA/DNMT1/NCOR2/YBX1/PAX6/NKAPL/NFIA/BAP1/DHX30/PWWP3A/ZC3H4/NAP1L1/MTA1/HMGN5/RAD21/SAP30L/FOXO3/SREBF1/ING5/NSD1/PHF8/POLE/YAP1/SMC3/GMNN/ACTN4/TFAM/ELK4/KAT8/KAT2B/PHF1/HDAC5/GRWD1/CLOCK/ZEB1/SMARCAD1/HNRNPU/CENPS/SMC2/SMARCD2/TGIF1/IKZF5/SMARCC1/POLE3/BRD4/ASXL1/RNF8/CHD7/APBB1/PCGF1/ZIC2/SIRT2/NUCKS1,GO_MF,CIC/YY1,2
GO:0140297,DNA-binding transcription factor binding,403,0.38539421624787396,2.0958627930543225,1.237047902974759e-13,1.8753646209097343e-11,1.5052919745671803e-11,2349,"tags=33%, list=19%, signal=28%",SETD1A/YY1/HIRA/CREBBP/HCFC1/SMARCD3/ZMYND8/DAXX/CBX5/CHD4/FOXO4/AKAP8/DCAF1/NFKBIA/NCOA1/WFS1/USF2/MAP3K10/TLE4/PADI2/JUND/KEAP1/TADA3/LMO3/JUP/FIZ1/EBF4/SETD3/HDAC4/SMAD2/MED25/CGGBP1/ZBTB7A/CREB3/AIP/RXRA/SOX10/KAT5/EP300/BCL2/CRKL/HEY2/SP1/ARID1A/SKI/SMAD4/MAX/RBPJ/TAF4/ZBTB17/PURA/MED13/UBXN7/NFYB/INTS13/SIRT1/MED1/MAVS/PBXIP1/RELA/KAT6A/DOT1L/MED16/KDM3A/CTDP1/PKN1/SMARCA1/MED12/TGFB1I1/ATOH8/VHL/PRDM16/PTMA/NCAPG2/SOX8/PARP1/ASCL1/NFATC1/SYVN1/TCF12/ELK1/NCOA6/PRMT2/MAPK3/STK4/ID4/TLE1/BMAL1/ID3/ZNF653/TBX3/HIPK2/ATF4/SMARCB1/SNW1/E2F1/ADD1/STAT5B/SRARP/EEF1D/LMO1/DAPK3/DLL1/ARID5A/TFDP1/PSMC5/REST/PCNA/CD34/NCOR2/TBX6/NFIA/TOB2/CPNE1/CRY1/SPEN/CRTC3/BCOR/MTA1/BRMS1/RAD21/ZNF703/PPARA/RPS3/TCF3/NSD1/YAP1/GMNN/ACTN4/STAT5A/COMMD7/KAT8/KAT2B/HDAC5,GO_MF,SETD1A/YY1,2
GO:0001217,DNA-binding transcription repressor activity,187,0.4505582172699263,2.2499327056774034,2.338482303724741e-11,2.9542826437055893e-9,2.3713031079875443e-9,3274,"tags=49%, list=26%, signal=36%",YY1/MXI1/CTCF/NACC1/THAP11/NFKB1/HDGF/ZNF205/ZBTB34/ZNF219/ZBTB14/MITF/NACC2/ZBTB12/ZBTB7A/ENO1/ZBTB7B/ZBTB16/HEY2/SKI/MAX/ZBTB17/PURA/SOX13/ZBTB5/NFE2L1/ZEB2/RELA/SALL1/E2F6/ZNF512B/FOXO1/ZGPAT/PRDM16/NR2F1/ASCL1/CC2D1A/ELK3/NR3C1/ERF/MSX1/FEZF2/TBX3/POU6F1/ZFHX3/MZF1/ZBTB45/REST/ZBTB20/CC2D1B/ZBTB46/PAX6/ZNF175/BACH1/ZNF263/FOXO3/PPARA/FOXK2/SOX6/TCF3/HIC1/MAFK/NFATC4/FOXP4/ZNF668/ZEB1/ZBTB2/NR1D1/BHLHE41/BCL6B/TGIF1/IKZF5/NR2E1/NFATC3/TRPS1/NR2F6/ZNF692/NR2F2/ZNF202/SP2/AEBP1/JDP2/FOXP2/ZNF350/NFIL3/THAP1/KLF16/GLIS2/ETV3/ZNF148/ESRRA,GO_MF,YY1/MXI1,2
GO:0001227,"DNA-binding transcription repressor activity, RNA polymerase II-specific",181,0.45935215021880693,2.28160158019016,3.2107422706480574e-11,3.476775201644611e-9,2.7906902743377097e-9,3581,"tags=53%, list=29%, signal=38%",YY1/MXI1/CTCF/NACC1/THAP11/NFKB1/HDGF/ZNF205/ZBTB34/ZNF219/ZBTB14/MITF/NACC2/ZBTB12/ZBTB7A/ENO1/ZBTB16/HEY2/SKI/MAX/ZBTB17/PURA/SOX13/ZBTB5/NFE2L1/ZEB2/RELA/SALL1/E2F6/ZNF512B/FOXO1/ZGPAT/PRDM16/NR2F1/ASCL1/CC2D1A/ELK3/NR3C1/ERF/MSX1/FEZF2/TBX3/POU6F1/ZFHX3/MZF1/ZBTB45/REST/ZBTB20/CC2D1B/ZBTB46/PAX6/ZNF175/BACH1/ZNF263/FOXO3/PPARA/FOXK2/TCF3/HIC1/MAFK/NFATC4/FOXP4/ZNF668/ZEB1/ZBTB2/NR1D1/BHLHE41/BCL6B/TGIF1/IKZF5/NR2E1/NFATC3/TRPS1/NR2F6/ZNF692/NR2F2/ZNF202/SP2/AEBP1/JDP2/FOXP2/ZNF350/NFIL3/THAP1/KLF16/GLIS2/ETV3/ZNF148/ESRRA/ZBTB6/GTF2IRD1/SP3/DEAF1/FOXP1/MLXIPL/BCL6,GO_MF,YY1/MXI1,2
GO:0003713,transcription coactivator activity,256,0.38661189724475986,2.009329837804067,4.1932716106238905e-9,3.5316665342810105e-7,2.83474969700656e-7,2890,"tags=41%, list=23%, signal=32%",DTX1/CREBBP/RERE/HCFC1/TRIM8/SMARCD3/DAXX/SRCAP/ARRB1/ZBED1/NCOA1/BCL9L/WWC1/JUND/TADA3/LMO3/JUP/FIZ1/GPS2/SETD3/TADA2B/TRIM28/KMT2D/UBE2L3/LPIN2/AIP/KAT5/EP300/LPIN1/TAF6L/ARID1A/WWOX/WWTR1/PSMC3IP/NFKBIB/PMF1/MED13/ABL1/SIRT1/MED1/NUPR1/PBXIP1/KAT6A/DOT1L/MED16/SSBP3/PKN1/MED12/TGFB1I1/ATN1/NOTCH1/PHF2/MAML1/RNF20/ZXDC/NOTCH4/PRDM16/MED13L/KAT6B/USP21/PQBP1/CNOT6/NCOA6/ABT1/PRMT2/MED26/CALCOCO1/NIBAN2/BRD7/HIPK2/SMARCB1/SNW1/RRP1B/SERTAD1/KMT2C/LMO1/SERTAD2/SMARCC2/BIRC2/CRTC3/MTA1/MRTFA/YAP1/ACTN4/KAT8/KAT2B/YAF2/TRIM62/TAF5L/SMARCD2/CTBP2/SMARCC1/BRD4/ASXL1/NOTCH2/APBB1/ZMIZ1/ATXN7L3/NUCKS1/QKI/TRIP4/HYAL2/TRIM5/BRD8,GO_MF,DTX1/KMT2D,2
GO:0008013,beta-catenin binding,89,0.46797487834336005,2.0897851287548854,8.297325914859616e-7,4.492409316759706e-5,3.605905547961547e-5,2572,"tags=44%, list=21%, signal=35%",SETD1A/AXIN1/SPECC1L/FOXO4/BCL9L/DLG5/CDH23/PTPRU/DVL1/CTNND2/TAX1BP3/GJA1/EP300/CDH20/SALL1/PXN/SMAD7/CHD8/MED12/FOXO1/CDH2/DVL3/FOXO6/RORA/SUFU/AJAP1/CALCOCO1/ADNP/AXIN2/KDM6B/AMER2/FOXO3/TCF4/RNF220/APC2/CTNNA1/NHERF2/KANK1/PSEN1,GO_MF,SETD1A,1
GO:0009055,electron transfer activity,88,-0.4533993068762817,-2.091716803278428,2.6479982994924075e-6,1.2544891943845282e-4,1.006936195464876e-4,3100,"tags=45%, list=25%, signal=34%",NDUFS4/NDUFB1/ALDH4A1/COX6B1/NDUFV1/NDUFB6/COX4I1/NDUFA9/SDHD/COX7A2L/CIAPIN1/FDX2/NDUFC2/AIFM2/ETFA/GLRX2/MAOB/ME1/NDUFA3/NDUFA2/NDUFA1/SDHC/SDHA/ETFDH/SDHB/CYCS/ASPH/NQO2/COX7B/GSR/UQCR10/NDUFV3/GFUS/SRD5A1/NDUFA10/NDUFA6/NDUFS1/NDUFA5/NDUFB5/ME2,GO_MF,ME2,1
GO:0043548,phosphatidylinositol 3-kinase binding,19,0.6570086460106486,2.1258339769183068,2.7543035006506115e-4,0.005642600144576118,0.0045291249598180755,1338,"tags=53%, list=11%, signal=47%",DAB2IP/IRS2/PIK3R2/IGF1R/INSR/IRS1/GSN/TYRO3/FYN/CBL,GO_MF,DAB2IP,1
